SN,year,month,shipping,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
AB,2010,11,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
AC,2010,12,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
B1,2011,1,37043.0,0.0%,0.0%,0.0%,0.010798261479901736%,0.016197392219852603%,0.06748913424938585%,0.12148044164889452%,0.18357044515832951%,0.22406392570796102%,0.286153929217396%,0.5048187241854061%,0.5939043813945954%,0.6586939502740059%,0.7099856923035391%,0.7666765650730233%,0.7882730880328268%,0.8314661339524336%,0.8908565720918933%,0.9097535296817212%,0.977242663931107%,1.0177361444807387%,1.0690278865102718%,1.1608131090894365%,1.2552978970385769%,1.2849931161083066%,1.3146883351780363%,1.3632805118375941%,1.3686796425775452%,1.3767783386874712%,1.4064735577572012%,1.436168776826931%,1.4577652997867343%,1.5063574764462921%,1.55494965310585%,1.617039656615285%,1.6602327025348917%
B2,2011,2,23414.0,0.0%,0.0%,0.0%,0.008541898009737764%,0.07260613308277099%,0.12385752114119758%,0.14948321517041085%,0.20927650123857522%,0.24344409327752628%,0.29469548133595286%,0.33740497138464165%,0.3801144614333305%,0.4441786965063637%,0.4911591355599214%,0.5039719825745281%,0.5509524216280858%,0.5979328606816434%,0.6662680447595455%,0.7773127188861365%,0.794396514905612%,0.8285641069445632%,0.867002647988383%,0.9481506790808917%,0.9737763731101051%,1.0164858631587939%,1.050653455197745%,1.0634663022123516%,1.080550098231827%,1.089091996241565%,1.1019048432561716%,1.1446143333048604%,1.2044076193730247%,1.234304262407107%,1.2385752114119757%,1.2727428034509267%,1.3239941915093534%
B3,2011,3,87721.0,0.0%,0.0%,0.0068398673065742524%,0.019379624035293717%,0.0433191596083036%,0.0866383192166072%,0.12653754517162366%,0.16643677112664013%,0.3739127460927258%,0.3989922595501647%,0.43775150762075216%,0.46739093261590725%,0.49589037972663336%,0.515270003761927%,0.5369295835660789%,0.5574491854858016%,0.5825286989432404%,0.6167280354761118%,0.6440875047024087%,0.676006885466422%,0.7079262662304351%,0.7364257133411611%,0.7466855143010226%,0.759225271029742%,0.7683450941051744%,0.7751849614117486%,0.7888646960248972%,0.8048243864069037%,0.8162241652511941%,0.8264839662110555%,0.8401637008242041%,0.8584033469750687%,0.86866314793493%,0.8800629267792204%,0.8983025729300851%,0.9097023517743755%
B4,2011,4,110146.0,0.0%,0.004539429484502388%,0.018157717938009552%,0.03359177818531767%,0.08170973072104297%,0.1125778512156592%,0.15070905888547928%,0.25693170882283517%,0.2950629164926552%,0.33410201005937573%,0.3794963049043996%,0.4149038548835182%,0.444864089481234%,0.4766400958727507%,0.5120476458518693%,0.547455195830988%,0.6137308663047228%,0.6618488188404482%,0.7263087175203821%,0.8034790187569226%,0.8888202930655675%,0.9196884135601837%,0.9550959635393024%,0.9932271712091224%,1.0086612314564305%,1.0277268352913407%,1.0458845532293501%,1.0758447878270658%,1.1239627403627912%,1.1784358941768198%,1.2401721351660522%,1.2783033428358725%,1.3300528389591997%,1.3845259927732283%,1.4099467978864415%,1.4489858914531621%
B5,2011,5,142131.0,0.0%,0.00211072883466661%,0.007035762782222035%,0.021810864624888307%,0.029550203685332545%,0.04291815297155441%,0.0619147124835539%,0.079504119439109%,0.09287206872533085%,0.10764717056799714%,0.11960796729777459%,0.12734730635821884%,0.13579022169688526%,0.15056532353955154%,0.1597118151564402%,0.1794119509466619%,0.18785486628532833%,0.2216265276399941%,0.2476588499342156%,0.27439474850665935%,0.28283766384532577%,0.29831634196621426%,0.31168429125243613%,0.318016477756436%,0.3243486642604358%,0.32857012192976903%,0.3405309186595465%,0.3560095967804349%,0.3883741055786563%,0.4172207329857666%,0.43269941110665516%,0.4545102757315434%,0.4713961064088763%,0.4819497505822094%,0.5030570389288754%,0.5227571747190972%
B6,2011,6,143489.0,0.0%,0.011847598073719937%,0.03554279422115981%,0.050178062429872675%,0.07457017611106077%,0.08781160925227717%,0.09826537225850066%,0.10662838266347943%,0.12056673333844406%,0.1261420736084299%,0.14635268208712862%,0.1561095275596039%,0.16656329056582733%,0.1791078061732955%,0.2014091672532389%,0.2139536828607071%,0.23346737380565757%,0.2627379102230833%,0.2794639310330409%,0.28713002390427145%,0.29967453951173956%,0.312915972652956%,0.3233697356591794%,0.3366111688003959%,0.3393988389353888%,0.3498526019416122%,0.3658817052178216%,0.385395396162772%,0.41118134491145664%,0.4244227780526731%,0.43696729366014114%,0.4655409125438187%,0.4759946755500422%,0.49829603662998556%,0.5212943152436772%,0.526869655513663%
B7,2011,7,136277.0,0.0007337995406414876%,0.005136596784490413%,0.016143589894112728%,0.03008578116630099%,0.046963170601055204%,0.08071794947056364%,0.09759533890531785%,0.11080373063686462%,0.1240121223684114%,0.14015571226252413%,0.15042890583150495%,0.1702414934288251%,0.1951906778106357%,0.22601025851757814%,0.24362144749297387%,0.2861818208501802%,0.33387879099187684%,0.38084196159293204%,0.39845315056832775%,0.410927742759233%,0.43000653081591167%,0.44101352392553406%,0.4586247129009297%,0.4681641069292691%,0.48650909544530624%,0.5180624756928902%,0.5591552499688135%,0.5980466256228123%,0.6266648077078304%,0.6574843884147729%,0.6905053677436398%,0.708850356259677%,0.7433389346698269%,0.766086720429713%,0.7748923149174108%,0.7814965107831843%
B8,2011,8,258123.0,0.0007748244054191218%,0.0069734196487720975%,0.017820961324639804%,0.034867098243860487%,0.041453105689923025%,0.04571463991972819%,0.053850296176628974%,0.05966147921727239%,0.06663489886604448%,0.07283349410939745%,0.08058173816358867%,0.09065445543403727%,0.09646563847468068%,0.10925024116409619%,0.11467401200203003%,0.12048519504267345%,0.12668379028602642%,0.12939567570499336%,0.1348194465429272%,0.13985580517815152%,0.14334251500253756%,0.14644181262421402%,0.14837887363776184%,0.15612711769195306%,0.16232571293530604%,0.16929913258407814%,0.174722903422012%,0.1774347888409789%,0.18285855967891276%,0.1855704450978797%,0.1886697427195562%,0.19215645254394223%,0.19486833796290914%,0.19719281117916654%,0.20067952100355257%,0.2053284674360673%
