SN,year,month,shipping,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
AB,2010,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC,2010,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
B1,2011,1,37043.0,0.0,0.0,0.0,4.0,2.0,19.0,20.0,23.0,15.0,23.0,81.0,33.0,24.0,19.0,21.0,8.0,16.0,22.0,7.0,25.0,15.0,19.0,34.0,35.0,11.0,11.0,18.0,2.0,3.0,11.0,11.0,8.0,18.0,18.0,23.0,16.0
B2,2011,2,23414.0,0.0,0.0,0.0,2.0,15.0,12.0,6.0,14.0,8.0,12.0,10.0,10.0,15.0,11.0,3.0,11.0,11.0,16.0,26.0,4.0,8.0,9.0,19.0,6.0,10.0,8.0,3.0,4.0,2.0,3.0,10.0,14.0,7.0,1.0,8.0,12.0
B3,2011,3,87721.0,0.0,0.0,6.0,11.0,21.0,38.0,35.0,35.0,182.0,22.0,34.0,26.0,25.0,17.0,19.0,18.0,22.0,30.0,24.0,28.0,28.0,25.0,9.0,11.0,8.0,6.0,12.0,14.0,10.0,9.0,12.0,16.0,9.0,10.0,16.0,10.0
B4,2011,4,110146.0,0.0,5.0,15.0,17.0,53.0,34.0,42.0,117.0,42.0,43.0,50.0,39.0,33.0,35.0,39.0,39.0,73.0,53.0,71.0,85.0,94.0,34.0,39.0,42.0,17.0,21.0,20.0,33.0,53.0,60.0,68.0,42.0,57.0,60.0,28.0,43.0
B5,2011,5,142131.0,0.0,3.0,7.0,21.0,11.0,19.0,27.0,25.0,19.0,21.0,17.0,11.0,12.0,21.0,13.0,28.0,12.0,48.0,37.0,38.0,12.0,22.0,19.0,9.0,9.0,6.0,17.0,22.0,46.0,41.0,22.0,31.0,24.0,15.0,30.0,28.0
B6,2011,6,143489.0,0.0,17.0,34.0,21.0,35.0,19.0,15.0,12.0,20.0,8.0,29.0,14.0,15.0,18.0,32.0,18.0,28.0,42.0,24.0,11.0,18.0,19.0,15.0,19.0,4.0,15.0,23.0,28.0,37.0,19.0,18.0,41.0,15.0,32.0,33.0,8.0
B7,2011,7,136277.0,1.0,6.0,15.0,19.0,23.0,46.0,23.0,18.0,18.0,22.0,14.0,27.0,34.0,42.0,24.0,58.0,65.0,64.0,24.0,17.0,26.0,15.0,24.0,13.0,25.0,43.0,56.0,53.0,39.0,42.0,45.0,25.0,47.0,31.0,12.0,9.0
B8,2011,8,258123.0,2.0,16.0,28.0,44.0,17.0,11.0,21.0,15.0,18.0,16.0,20.0,26.0,15.0,33.0,14.0,15.0,16.0,7.0,14.0,13.0,9.0,8.0,5.0,20.0,16.0,18.0,14.0,7.0,14.0,7.0,8.0,9.0,7.0,6.0,9.0,12.0
