SN,year,month,shipping,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
C2,2012,2,4197.0,0.0%,0.0%,0.16678579938050989%,0.524183940910174%,0.619490111984751%,1.4295925661186561%,2.1443888491779846%,2.573266619013581%,2.7638789611627352%,2.8591851322373123%,2.9544913033118894%,2.9783178460805337%,3.0021443888491777%,3.1451036454610435%,3.2404098165356205%,3.5263283297593517%,3.693114129139862%,4.098165356206814%,4.622349297116989%,5.051227066952585%,5.122706695258518%,5.24183940910174%,5.337145580176316%,5.337145580176316%,5.408625208482249%,5.5277579223254705%,5.646890636168692%,5.670717178937336%,5.837502978317846%,6.075768406004289%,6.218727662616154%,6.36168691922802%,6.409340004765308%,6.552299261377175%,6.552299261377175%,6.623778889683107%
C3,2012,3,135996.0,0.0%,0.00735315744580723%,0.07426689020265302%,0.11323862466543133%,0.2580958263478338%,0.41251213270978554%,0.5132503897173447%,0.5588399658813494%,0.5875172799199977%,0.605164857789935%,0.6198711726815495%,0.6242830671490338%,0.6441365922527132%,0.6728139062913615%,0.7073737462866555%,0.740462954792788%,0.806641371805053%,0.8992911556222241%,0.9654695726344892%,1.0015000441189448%,1.02723609517927%,1.0522368304950145%,1.0559134092179183%,1.066943145386629%,1.0816494602782434%,1.104444248360246%,1.122827141974764%,1.1537104032471543%,1.1926821377099326%,1.2272419777052266%,1.2544486602547134%,1.2691549751463278%,1.2838612900379422%,1.2904791317391688%,1.2993029206741376%,1.3015088679078797%
C4,2012,4,110284.0,0.0%,0.0018134996917050525%,0.010880998150230315%,0.060752239672119256%,0.13057197780276378%,0.18769721809147294%,0.21489971346704873%,0.22668746146313154%,0.23484821007580428%,0.24028870915091946%,0.24391570853432953%,0.2502629574552972%,0.26839795437234776%,0.2965071995937761%,0.329150194044467%,0.363606688186863%,0.41438467955460445%,0.4633491712306409%,0.48239091799354394%,0.4987124152188894%,0.5059664139857096%,0.5095934133691197%,0.5132204127525298%,0.5286351601320228%,0.5485836567407784%,0.5639984041202712%,0.5785064016539117%,0.6020818976460774%,0.6310978927133583%,0.6546733887055239%,0.6655543868557543%,0.6755286351601321%,0.6800623843893947%,0.6855028834645098%,0.6864096333103624%,0.69275688223133%
C5,2012,5,117796.0,0.0%,0.0%,0.019525280994261266%,0.0492376651159632%,0.06366939454650412%,0.07385649767394478%,0.08064789975890523%,0.08234575028014533%,0.08574145132262556%,0.08743930184386567%,0.08998607762572583%,0.0984753302319264%,0.10441780705626677%,0.11290705966246731%,0.12309416278990797%,0.13497911643858873%,0.14431729430540935%,0.14856192060850965%,0.15959794899657034%,0.16299365003905056%,0.16638935108153077%,0.169785052124011%,0.17233182790587115%,0.1774253794695915%,0.18167000577269177%,0.1867635573364121%,0.19355495942137255%,0.19779958572447282%,0.19949743624571295%,0.20119528676695303%,0.20119528676695303%,0.20459098780943327%,0.20713776359129343%,0.20713776359129343%,0.2096845393731536%,0.21223131515501376%
C6,2012,6,123324.0,0.0%,0.0%,0.0%,0.0008108721741104734%,0.006486977392883787%,0.010541338263436152%,0.016217443482209465%,0.019460932178651358%,0.02027180435276183%,0.024326165223314197%,0.03000227044208751%,0.03243488696441893%,0.03811099218319224%,0.0454088417501865%,0.053517563491291234%,0.05513930783951218%,0.05919366871006454%,0.061626285232395966%,0.06324802958061691%,0.06405890175472738%,0.06568064610294833%,0.06811326262527975%,0.07054587914761117%,0.07135675132172165%,0.07703285654049495%,0.07946547306282638%,0.08270896175926827%,0.08676332262982063%,0.08676332262982063%,0.08757419480393111%,0.08757419480393111%,0.08757419480393111%,0.08757419480393111%,0.08757419480393111%,0.08757419480393111%,0.08838506697804159%
C7,2012,7,58576.0,0.0%,0.0%,0.0%,0.0034143676591095328%,0.0034143676591095328%,0.005121551488664299%,0.005121551488664299%,0.0068287353182190655%,0.008535919147773833%,0.008535919147773833%,0.011950286806883365%,0.013657470636438131%,0.017071838295547665%,0.020486205954657197%,0.020486205954657197%,0.020486205954657197%,0.022193389784211964%,0.02390057361376673%,0.0256077574433215%,0.0256077574433215%,0.027314941272876262%,0.027314941272876262%,0.027314941272876262%,0.027314941272876262%,0.027314941272876262%,0.027314941272876262%,0.030729308931985798%,0.030729308931985798%,0.030729308931985798%,0.030729308931985798%,0.03243649276154056%,0.03243649276154056%,0.03243649276154056%,0.03243649276154056%,0.03243649276154056%,0.03243649276154056%
C8,2012,8,61528.0,0.0%,0.0%,0.001625276296970485%,0.004875828890911455%,0.00650110518788194%,0.00975165778182291%,0.011376934078793395%,0.014627486672734365%,0.014627486672734365%,0.017878039266675336%,0.01950331556364582%,0.021128591860616306%,0.02275386815758679%,0.024379144454557276%,0.024379144454557276%,0.024379144454557276%,0.02600442075152776%,0.02600442075152776%,0.02925497334546873%,0.02925497334546873%,0.02925497334546873%,0.030880249642439215%,0.0325055259394097%,0.03575607853335067%,0.03575607853335067%,0.03575607853335067%,0.03738135483032116%,0.03738135483032116%,0.03738135483032116%,0.03738135483032116%,0.03738135483032116%,0.03900663112729164%,0.03900663112729164%,0.03900663112729164%,0.03900663112729164%,0.04063190742426213%
C9,2012,9,76761.0,0.0%,0.0%,0.0%,0.0013027448834694703%,0.0026054897669389406%,0.006513724417347351%,0.00781646930081682%,0.00781646930081682%,0.011724703951225232%,0.01693568348510311%,0.019541173252042052%,0.019541173252042052%,0.02214666301898099%,0.023449407902450464%,0.026054897669389405%,0.026054897669389405%,0.027357642552858875%,0.027357642552858875%,0.027357642552858875%,0.028660387436328344%,0.029963132319797817%,0.029963132319797817%,0.03126587720326728%,0.032568622086736755%,0.032568622086736755%,0.032568622086736755%,0.03387136697020622%,0.03387136697020622%,0.03387136697020622%,0.03387136697020622%,0.03387136697020622%,0.03387136697020622%,0.03387136697020622%,0.03387136697020622%,0.03387136697020622%,0.03387136697020622%
CA,2012,10,35311.0,0.0%,0.0%,0.0%,0.0%,0.0028319787035201494%,0.005663957407040299%,0.014159893517600749%,0.028319787035201497%,0.031151765738721648%,0.039647701849282097%,0.05097561666336269%,0.05380759536688284%,0.05380759536688284%,0.062303531477443296%,0.062303531477443296%,0.062303531477443296%,0.062303531477443296%,0.06796748888448359%,0.07363144629152389%,0.07646342499504404%,0.07646342499504404%,0.07929540369856419%,0.08212738240208434%,0.0849593611056045%,0.0849593611056045%,0.0849593611056045%,0.0849593611056045%,0.0849593611056045%,0.08779133980912464%,0.08779133980912464%,0.08779133980912464%,0.08779133980912464%,0.08779133980912464%,0.09062331851264478%,0.09062331851264478%,0.09062331851264478%
CB,2012,11,41133.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.002431138015705152%,0.004862276031410304%,0.012155690078525759%,0.012155690078525759%,0.014586828094230907%,0.014586828094230907%,0.017017966109936063%,0.021880242141346366%,0.021880242141346366%,0.021880242141346366%,0.021880242141346366%,0.021880242141346366%,0.024311380157051518%,0.024311380157051518%,0.026742518172756666%,0.026742518172756666%,0.026742518172756666%,0.026742518172756666%,0.029173656188461815%,0.029173656188461815%,0.029173656188461815%,0.029173656188461815%,0.03160479420416697%,0.03160479420416697%,0.03160479420416697%,0.03160479420416697%,0.03160479420416697%,0.03160479420416697%,0.03160479420416697%,0.03160479420416697%,0.03160479420416697%
