SN,year,month,shipping,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
C2,2012,2,4197.0,0.0,0.0,7.0,15.0,4.0,34.0,30.0,18.0,8.0,4.0,4.0,1.0,1.0,6.0,4.0,12.0,7.0,17.0,22.0,18.0,3.0,5.0,4.0,0.0,3.0,5.0,5.0,1.0,7.0,10.0,6.0,6.0,2.0,6.0,0.0,3.0
C3,2012,3,135996.0,0.0,10.0,91.0,53.0,197.0,210.0,137.0,62.0,39.0,24.0,20.0,6.0,27.0,39.0,47.0,45.0,90.0,126.0,90.0,49.0,35.0,34.0,5.0,15.0,20.0,31.0,25.0,42.0,53.0,47.0,37.0,20.0,20.0,9.0,12.0,3.0
C4,2012,4,110284.0,0.0,2.0,10.0,55.0,77.0,63.0,30.0,13.0,9.0,6.0,4.0,7.0,20.0,31.0,36.0,38.0,56.0,54.0,21.0,18.0,8.0,4.0,4.0,17.0,22.0,17.0,16.0,26.0,32.0,26.0,12.0,11.0,5.0,6.0,1.0,7.0
C5,2012,5,117796.0,0.0,0.0,23.0,35.0,17.0,12.0,8.0,2.0,4.0,2.0,3.0,10.0,7.0,10.0,12.0,14.0,11.0,5.0,13.0,4.0,4.0,4.0,3.0,6.0,5.0,6.0,8.0,5.0,2.0,2.0,0.0,4.0,3.0,0.0,3.0,3.0
C6,2012,6,123324.0,0.0,0.0,0.0,1.0,7.0,5.0,7.0,4.0,1.0,5.0,7.0,3.0,7.0,9.0,10.0,2.0,5.0,3.0,2.0,1.0,2.0,3.0,3.0,1.0,7.0,3.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
C7,2012,7,58576.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
C8,2012,8,61528.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
C9,2012,9,76761.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,3.0,4.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA,2012,10,35311.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,5.0,1.0,3.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CB,2012,11,41133.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
