SN,year,month,shipping,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
C5,2012,5,2.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,50.0%,50.0%,100.0%,150.0%,150.0%,150.0%,150.0%,150.0%,150.0%,150.0%,150.0%,150.0%,150.0%,150.0%,150.0%,150.0%,150.0%,150.0%,150.0%,150.0%,150.0%,150.0%,150.0%,150.0%,150.0%,150.0%,150.0%,150.0%,150.0%
C6,2012,6,3397.0,0.0%,0.0%,0.0%,0.029437739181630854%,0.029437739181630854%,0.029437739181630854%,0.08831321754489255%,0.08831321754489255%,0.08831321754489255%,0.20606417427141593%,0.20606417427141593%,0.26493965263467767%,0.32381513099793935%,0.41212834854283187%,0.44156608772446276%,0.47100382690609366%,0.5298793052693553%,0.5298793052693553%,0.5298793052693553%,0.6181925228142479%,0.7065057403591404%,0.7359434795407712%,0.7653812187224022%,0.7653812187224022%,0.7653812187224022%,0.7653812187224022%,0.7653812187224022%,0.7948189579040329%,0.7948189579040329%,0.7948189579040329%,0.7948189579040329%,0.7948189579040329%,0.7948189579040329%,0.7948189579040329%,0.8242566970856637%,0.8242566970856637%
C7,2012,7,2170.0,0.0%,0.0%,0.2304147465437788%,0.8294930875576038%,1.2442396313364055%,1.6589861751152075%,2.0276497695852536%,2.1198156682027647%,2.3502304147465436%,2.5345622119815667%,3.1797235023041472%,3.9170506912442393%,4.6082949308755765%,6.267281105990784%,7.096774193548387%,7.649769585253456%,8.110599078341014%,8.38709677419355%,8.38709677419355%,8.433179723502304%,8.525345622119817%,8.755760368663594%,9.12442396313364%,9.400921658986174%,9.861751152073733%,10.184331797235023%,10.32258064516129%,10.368663594470046%,10.460829493087557%,10.460829493087557%,10.506912442396313%,10.55299539170507%,10.737327188940093%,10.87557603686636%,10.87557603686636%,10.967741935483872%
C8,2012,8,61586.0,0.0%,0.0%,0.01786120222128406%,0.05358360666385218%,0.07956353716753807%,0.10067223070178287%,0.10716721332770436%,0.136394635144351%,0.1769882765563602%,0.21758191796836945%,0.27603676160166274%,0.3491053161432793%,0.44003507290617994%,0.49037118825707143%,0.5163511187607573%,0.5374598122950022%,0.5488260318903646%,0.5569447601727665%,0.5618159971422076%,0.5845484363329329%,0.6137758581495795%,0.6446270256227065%,0.6722307017828727%,0.6965868866300783%,0.7193193258208035%,0.7323092910726464%,0.7371805280420876%,0.7469230019809697%,0.7517942389504109%,0.7599129672328127%,0.7599129672328127%,0.7696554411716948%,0.7777741694540967%,0.7875166433929789%,0.7972591173318611%,0.8005066086448218%
C9,2012,9,254085.0,0.0%,0.0003935690812129799%,0.0043292598933427785%,0.007477812543046618%,0.011019934273963437%,0.012594210598815356%,0.014168486923667276%,0.016923470492158137%,0.02440128303520475%,0.031091957415825412%,0.03975047720251097%,0.04801542790798355%,0.055493240451030164%,0.05864179310073401%,0.061003207588011886%,0.06493889840014169%,0.06533246748135467%,0.06690674380620659%,0.06808745104984552%,0.07005529645591042%,0.07517169451167915%,0.07950095440502195%,0.0842237833795777%,0.08737233602928154%,0.0901273195977724%,0.09170159592262432%,0.09248873408505028%,0.09327587224747624%,0.09327587224747624%,0.09327587224747624%,0.0940630104099022%,0.09524371765354114%,0.09524371765354114%,0.0960308558159671%,0.09721156305960603%,0.09799870122203198%
CA,2012,10,134377.0,0.0%,0.0037208748520952246%,0.013395149467542809%,0.02232524911257135%,0.02604612396466657%,0.0364645735505332%,0.05060389798849505%,0.06325487248561883%,0.08037089680525686%,0.10344032088824724%,0.1443699442612947%,0.17264859313721842%,0.18306704272308505%,0.1890204424864374%,0.19348549230895168%,0.19571801722020882%,0.20315976692439927%,0.20613646680607542%,0.21283404153984686%,0.22176414118487536%,0.22995006585948488%,0.24408939029744672%,0.2530194899424753%,0.2567403647945705%,0.2582287147354086%,0.2619495895875038%,0.26269376455792287%,0.2634379395283419%,0.26418211449876094%,0.2671588143804371%,0.27311221414378944%,0.27608891402546565%,0.2775772639663038%,0.27906561390714185%,0.2805539638479799%,0.28278648875923706%
CB,2012,11,239985.0,0.0%,0.0004166927099610392%,0.004583619809571432%,0.006250390649415589%,0.01708440110840261%,0.02625164072754547%,0.04291934912598704%,0.05667020855470133%,0.0795883076025585%,0.10709002645998707%,0.12709127653811697%,0.13417505260745463%,0.13959205783694814%,0.14417567764651956%,0.14542575577640268%,0.14625914119632477%,0.15125945371585722%,0.15625976623538973%,0.1633435423047274%,0.169593932954143%,0.17792778715336374%,0.1816780215430131%,0.1870950267725066%,0.18834510490238973%,0.1920953392920391%,0.19251203200200012%,0.1933454174219222%,0.19376211013188324%,0.1954288809717274%,0.19584557368168845%,0.19709565181157154%,0.19792903723149366%,0.19959580807133778%,0.20126257891118193%,0.201679271621143%,0.20334604246098714%
CC,2012,12,323237.0,0.0%,0.0015468526189761694%,0.002474964190361871%,0.006806151523495145%,0.01361230304699029%,0.0210371956180759%,0.028152717665366277%,0.03341201656988526%,0.045168096474104136%,0.05475858271175638%,0.05630543533073255%,0.05692417637832303%,0.0593991405686849%,0.060017881616275366%,0.06063662266386584%,0.062492845806637234%,0.06558655104458957%,0.06713340366356574%,0.07177396152049426%,0.07548640780603706%,0.07734263094880846%,0.07796137199639894%,0.07827074252019416%,0.07919885409157987%,0.07919885409157987%,0.07919885409157987%,0.07919885409157987%,0.0795082246153751%,0.07981759513917033%,0.0804363361867608%,0.08105507723435126%,0.08260192985332744%,0.08291130037712266%,0.0832206709009179%,0.08353004142471314%,0.08445815299609884%
D1,2013,1,177142.0,0.0%,0.0005645188605751318%,0.007903264048051846%,0.019758160120129615%,0.02935498074990685%,0.040645357961409494%,0.05701640491808832%,0.07621004617764279%,0.09371013085547189%,0.10048435718237347%,0.10387147034582424%,0.11008117781215071%,0.1117747343938761%,0.11572636641790202%,0.11798444186020254%,0.12306511160537874%,0.12532318704767928%,0.1298393379322803%,0.13774260198033217%,0.13943615856205757%,0.14225875286493322%,0.14508134716780888%,0.145645866028384%,0.14621038488895913%,0.14790394147068453%,0.14846846033125968%,0.14959749805240993%,0.14959749805240993%,0.15016201691298506%,0.1507265357735602%,0.15129105463413534%,0.15185557349471046%,0.15185557349471046%,0.15242009235528559%,0.1529846112158607%,0.154113648937011%
D2,2013,2,114198.0,0.0%,0.0017513441566402214%,0.007005376626560885%,0.021891801958002766%,0.03852957144608487%,0.055167340934166975%,0.07705914289216974%,0.08931855198865128%,0.10070228900681273%,0.10508064939841327%,0.10595632147673341%,0.10683199355505352%,0.10945900979001384%,0.11208602602497417%,0.11996707472985517%,0.12522110719977583%,0.13047513966969648%,0.13660484421793725%,0.14185887668785793%,0.14273454876617803%,0.14448589292281827%,0.1453615650011384%,0.1462372370794585%,0.1471129091577786%,0.1471129091577786%,0.1471129091577786%,0.1479885812360987%,0.14886425331441883%,0.14886425331441883%,0.15149126954937914%,0.15236694162769926%,0.15324261370601935%,0.15411828578433948%,0.15499395786265957%,0.15499395786265957%,0.15586962994097972%
