SN,year,month,shipping,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
C5,2012,5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C6,2012,6,3397.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,2.0,2.0,3.0,1.0,1.0,2.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
C7,2012,7,2170.0,0.0,0.0,5.0,13.0,9.0,9.0,8.0,2.0,5.0,4.0,14.0,16.0,15.0,36.0,18.0,12.0,10.0,6.0,0.0,1.0,2.0,5.0,8.0,6.0,10.0,7.0,3.0,1.0,2.0,0.0,1.0,1.0,4.0,3.0,0.0,2.0
C8,2012,8,61586.0,0.0,0.0,11.0,22.0,16.0,13.0,4.0,18.0,25.0,25.0,36.0,45.0,56.0,31.0,16.0,13.0,7.0,5.0,3.0,14.0,18.0,19.0,17.0,15.0,14.0,8.0,3.0,6.0,3.0,5.0,0.0,6.0,5.0,6.0,6.0,2.0
C9,2012,9,254085.0,0.0,1.0,10.0,8.0,9.0,4.0,4.0,7.0,19.0,17.0,22.0,21.0,19.0,8.0,6.0,10.0,1.0,4.0,3.0,5.0,13.0,11.0,12.0,8.0,7.0,4.0,2.0,2.0,0.0,0.0,2.0,3.0,0.0,2.0,3.0,2.0
CA,2012,10,134377.0,0.0,5.0,13.0,12.0,5.0,14.0,19.0,17.0,23.0,31.0,55.0,38.0,14.0,8.0,6.0,3.0,10.0,4.0,9.0,12.0,11.0,19.0,12.0,5.0,2.0,5.0,1.0,1.0,1.0,4.0,8.0,4.0,2.0,2.0,2.0,3.0
CB,2012,11,239985.0,0.0,1.0,10.0,4.0,26.0,22.0,40.0,33.0,55.0,66.0,48.0,17.0,13.0,11.0,3.0,2.0,12.0,12.0,17.0,15.0,20.0,9.0,13.0,3.0,9.0,1.0,2.0,1.0,4.0,1.0,3.0,2.0,4.0,4.0,1.0,4.0
CC,2012,12,323237.0,0.0,5.0,3.0,14.0,22.0,24.0,23.0,17.0,38.0,31.0,5.0,2.0,8.0,2.0,2.0,6.0,10.0,5.0,15.0,12.0,6.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,5.0,1.0,1.0,1.0,3.0
D1,2013,1,177142.0,0.0,1.0,13.0,21.0,17.0,20.0,29.0,34.0,31.0,12.0,6.0,11.0,3.0,7.0,4.0,9.0,4.0,8.0,14.0,3.0,5.0,5.0,1.0,1.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0
D2,2013,2,114198.0,0.0,2.0,6.0,17.0,19.0,19.0,25.0,14.0,13.0,5.0,1.0,1.0,3.0,3.0,9.0,6.0,6.0,7.0,6.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0
D3,2013,3,230774.0,0.0,5.0,19.0,18.0,35.0,37.0,20.0,12.0,5.0,5.0,3.0,1.0,5.0,6.0,6.0,7.0,13.0,5.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0
D4,2013,4,107513.0,0.0,15.0,38.0,51.0,38.0,21.0,10.0,6.0,4.0,2.0,2.0,5.0,8.0,7.0,8.0,13.0,3.0,1.0,1.0,5.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,3.0,1.0,0.0
D5,2013,5,134182.0,0.0,14.0,38.0,30.0,21.0,12.0,9.0,6.0,2.0,3.0,2.0,5.0,5.0,3.0,2.0,5.0,2.0,2.0,3.0,1.0,1.0,0.0,2.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0
D6,2013,6,254760.0,0.0,11.0,41.0,47.0,41.0,22.0,12.0,10.0,3.0,19.0,19.0,12.0,25.0,17.0,11.0,12.0,2.0,7.0,2.0,4.0,0.0,5.0,4.0,2.0,4.0,5.0,1.0,3.0,2.0,2.0,3.0,5.0,2.0,5.0,4.0,7.0
D7,2013,7,210288.0,0.0,16.0,23.0,26.0,22.0,17.0,4.0,5.0,14.0,8.0,6.0,3.0,5.0,2.0,4.0,5.0,3.0,2.0,0.0,0.0,4.0,2.0,4.0,4.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0
D8,2013,8,134132.0,0.0,9.0,13.0,29.0,17.0,7.0,15.0,22.0,21.0,17.0,15.0,7.0,7.0,9.0,1.0,10.0,3.0,3.0,1.0,6.0,3.0,2.0,3.0,4.0,4.0,0.0,1.0,1.0,3.0,2.0,1.0,3.0,5.0,6.0,0.0,6.0
D9,2013,9,192680.0,0.0,2.0,16.0,19.0,9.0,8.0,17.0,6.0,9.0,11.0,5.0,1.0,1.0,2.0,6.0,1.0,5.0,1.0,0.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,2.0,3.0,0.0,1.0,0.0,2.0,2.0
DA,2013,10,53678.0,0.0,0.0,5.0,6.0,5.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DB,2013,11,89941.0,0.0,0.0,1.0,4.0,5.0,9.0,4.0,8.0,10.0,6.0,0.0,3.0,1.0,2.0,0.0,0.0,4.0,3.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,2.0,0.0
DC,2013,12,130233.0,1.0,1.0,7.0,8.0,5.0,6.0,6.0,6.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,5.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0
E1,2014,1,93210.0,0.0,1.0,3.0,5.0,5.0,5.0,11.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
E2,2014,2,108248.0,0.0,0.0,1.0,6.0,1.0,7.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E3,2014,3,63673.0,0.0,1.0,2.0,7.0,6.0,4.0,5.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,4.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,4.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0
E4,2014,4,40862.0,0.0,2.0,1.0,6.0,2.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0
E5,2014,5,61845.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E6,2014,6,40711.0,0.0,3.0,7.0,9.0,2.0,2.0,0.0,3.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
E7,2014,7,40495.0,0.0,3.0,5.0,5.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
E8,2014,8,38942.0,0.0,1.0,3.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
E9,2014,9,34658.0,0.0,2.0,2.0,0.0,1.0,0.0,3.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EA,2014,10,28693.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
EB,2014,11,37323.0,0.0,3.0,1.0,0.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EC,2014,12,24700.0,0.0,1.0,1.0,3.0,6.0,1.0,3.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
F1,2015,1,35394.0,1.0,0.0,1.0,4.0,4.0,3.0,6.0,3.0,5.0,3.0,4.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
F2,2015,2,37753.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
F3,2015,3,71514.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
F4,2015,4,20901.0,0.0,0.0,1.0,5.0,5.0,6.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
F5,2015,5,21697.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
F6,2015,6,30540.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F7,2015,7,39784.0,0.0,1.0,0.0,4.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
F8,2015,8,58143.0,0.0,1.0,4.0,1.0,6.0,2.0,0.0,5.0,4.0,0.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
F9,2015,9,35338.0,0.0,0.0,4.0,1.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,
FA,2015,10,24888.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
FB,2015,11,30618.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
FC,2015,12,18240.0,0.0,0.0,2.0,7.0,5.0,2.0,3.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
G1,2016,1,29867.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,
G2,2016,2,21742.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
G3,2016,3,32411.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
G4,2016,4,24776.0,0.0,1.0,2.0,1.0,4.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
G5,2016,5,28984.0,0.0,0.0,3.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
G6,2016,6,22454.0,0.0,0.0,1.0,1.0,5.0,4.0,2.0,3.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,
G7,2016,7,36893.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
G8,2016,8,17624.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,4.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
G9,2016,9,24586.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
GA,2016,10,17546.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
GB,2016,11,26553.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,
GC,2016,12,21840.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,
H1,2017,1,3869.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
H2,2017,2,26906.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
H3,2017,3,13002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,
H4,2017,4,7398.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
H5,2017,5,7784.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
H6,2017,6,13692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
H7,2017,7,15214.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
H8,2017,8,14102.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
H9,2017,9,16497.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
HA,2017,10,12422.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
HB,2017,11,11184.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HC,2017,12,10629.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J1,2018,1,12288.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J2,2018,2,2789.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J3,2018,3,14590.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J4,2018,4,11217.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J5,2018,5,10872.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J6,2018,6,8005.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
