SN,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01
C5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C6,,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,2.0,2.0,3.0,1.0,1.0,2.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C7,,,0.0,0.0,5.0,13.0,9.0,9.0,8.0,2.0,5.0,4.0,14.0,16.0,15.0,36.0,18.0,12.0,10.0,6.0,0.0,1.0,2.0,5.0,8.0,6.0,10.0,7.0,3.0,1.0,2.0,0.0,1.0,1.0,4.0,3.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C8,,,,0.0,0.0,11.0,22.0,16.0,13.0,4.0,18.0,25.0,25.0,36.0,45.0,56.0,31.0,16.0,13.0,7.0,5.0,3.0,14.0,18.0,19.0,17.0,15.0,14.0,8.0,3.0,6.0,3.0,5.0,0.0,6.0,5.0,6.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C9,,,,,0.0,1.0,10.0,8.0,9.0,4.0,4.0,7.0,19.0,17.0,22.0,21.0,19.0,8.0,6.0,10.0,1.0,4.0,3.0,5.0,13.0,11.0,12.0,8.0,7.0,4.0,2.0,2.0,0.0,0.0,2.0,3.0,0.0,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,,,,,,0.0,5.0,13.0,12.0,5.0,14.0,19.0,17.0,23.0,31.0,55.0,38.0,14.0,8.0,6.0,3.0,10.0,4.0,9.0,12.0,11.0,19.0,12.0,5.0,2.0,5.0,1.0,1.0,1.0,4.0,8.0,4.0,2.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CB,,,,,,,0.0,1.0,10.0,4.0,26.0,22.0,40.0,33.0,55.0,66.0,48.0,17.0,13.0,11.0,3.0,2.0,12.0,12.0,17.0,15.0,20.0,9.0,13.0,3.0,9.0,1.0,2.0,1.0,4.0,1.0,3.0,2.0,4.0,4.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC,,,,,,,,0.0,5.0,3.0,14.0,22.0,24.0,23.0,17.0,38.0,31.0,5.0,2.0,8.0,2.0,2.0,6.0,10.0,5.0,15.0,12.0,6.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,5.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,,,,,,,,,0.0,1.0,13.0,21.0,17.0,20.0,29.0,34.0,31.0,12.0,6.0,11.0,3.0,7.0,4.0,9.0,4.0,8.0,14.0,3.0,5.0,5.0,1.0,1.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,,,,,,,,,,0.0,2.0,6.0,17.0,19.0,19.0,25.0,14.0,13.0,5.0,1.0,1.0,3.0,3.0,9.0,6.0,6.0,7.0,6.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D3,,,,,,,,,,,0.0,5.0,19.0,18.0,35.0,37.0,20.0,12.0,5.0,5.0,3.0,1.0,5.0,6.0,6.0,7.0,13.0,5.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
