SN,year,month,shipping,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
A2,2010,2,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
A3,2010,3,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
A4,2010,4,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
A5,2010,5,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
A6,2010,6,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
A7,2010,7,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
A8,2010,8,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
A9,2010,9,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
AA,2010,10,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
AB,2010,11,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
AC,2010,12,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
B1,2011,1,528446.0,0.0%,0.0017031068453541138%,0.008326300132842334%,0.015327961608187023%,0.03973915972492932%,0.0694489124716622%,0.12186675648978326%,0.19339724399465602%,0.2321902332499442%,0.2511136426427677%,0.26473849740560057%,0.2772279476048641%,0.28139109767128523%,0.28952816371019935%,0.3001252729701805%,0.3099654458544487%,0.33361970759547804%,0.35311081927008625%,0.3835775083925321%,0.4108272179181979%,0.43467071375315547%,0.4505663776431272%,0.46286659374846245%,0.4723282984448742%,0.4781945553566495%,0.48179000314128595%,0.49465792152840593%,0.5041196262248177%,0.51887988555122%,0.5342078471594071%,0.5514281497068764%,0.5722439000389822%,0.5947627572164421%,0.605927568758208%,0.6138754007031939%,0.6233371053996056%
B2,2011,2,331961.0,0.0%,0.0036148824711336575%,0.012953328854895606%,0.04518603088917071%,0.08253981642421851%,0.1503188627579746%,0.22924379671105943%,0.27412858739430235%,0.2961191224270321%,0.31690469663605064%,0.32594190281388474%,0.3289543048731628%,0.342510114139914%,0.3524510409355316%,0.3654043697904272%,0.38679242441130135%,0.4054693171788252%,0.42866481303526616%,0.4554751913628408%,0.48047812845484866%,0.493732697515672%,0.5054810655468563%,0.5145182717246906%,0.5190368748136076%,0.5214467964610301%,0.5295802820210808%,0.5365088067574203%,0.5452447727293266%,0.5597043026138613%,0.5753687933221071%,0.5922382448540642%,0.6094089365919491%,0.62025358400535%,0.6289895499772564%,0.6353155943017403%,0.6398341973906574%
B3,2011,3,758757.0,0.000395383502227986%,0.007644081043074396%,0.02899479016338564%,0.06497468886613238%,0.1283678437233528%,0.21034402318528855%,0.2526500579236831%,0.2746597395477076%,0.2917930246442537%,0.30549965272149054%,0.30984887124599836%,0.3188108972964994%,0.32974984085814035%,0.340029811916068%,0.3646753835549458%,0.386421476177485%,0.41159422581933347%,0.4401936324804911%,0.46048998559486104%,0.4749873806765539%,0.48526735173448154%,0.4947565557879532%,0.5029278148339983%,0.5051683213466235%,0.5133395803926686%,0.5217744284401988%,0.5332405500048104%,0.5454974385738781%,0.5631579016733947%,0.5843768162929633%,0.6046731694073333%,0.612580839451893%,0.6196977424919967%,0.6265510565306152%,0.6305048915528951%,0.6356448770818588%
B4,2011,4,501899.0,0.0%,0.013150056086981644%,0.05100627815556516%,0.1657704040055868%,0.30145507363035196%,0.3807538967003321%,0.4162191994803735%,0.4476996367795114%,0.4660300179916676%,0.47360126240538436%,0.48934148105495323%,0.5086680786373354%,0.5236113241907236%,0.5610690597112168%,0.5947411730248516%,0.6419618289735585%,0.6959567562398012%,0.7399895198037851%,0.7662896319777486%,0.7858154728341757%,0.7981685558249768%,0.8091269358974614%,0.8162996937630878%,0.8312429393164761%,0.8414043462927799%,0.8609301871492072%,0.8850386233086738%,0.9121357085788176%,0.9418229564115489%,0.9750965831770934%,0.9928292345671141%,1.0043853444617343%,1.01653918417849%,1.0219187525777098%,1.0300877268135622%,1.0448317290929052%
B5,2011,5,427645.0,0.0%,0.0060798091875270376%,0.02946369067801564%,0.06991780565656093%,0.09166481544271535%,0.10546130552210362%,0.11247646996925019%,0.12159618375054075%,0.1258052824188287%,0.13188509160635573%,0.13656186790445346%,0.14287551590688538%,0.15480129546703456%,0.1676624302868033%,0.18894176244314795%,0.20671351237591928%,0.22004232482549776%,0.23430649253469585%,0.2445954003905108%,0.25090904839294276%,0.2560535023208502%,0.258625729284804%,0.26423786084252127%,0.2717207029194776%,0.27733283447719487%,0.2850495153690561%,0.2953384232248711%,0.30819955804463983%,0.31685159419612063%,0.32152837049421834%,0.32456827508798186%,0.3287773737562698%,0.33111576190531866%,0.33275263360965285%,0.33462334412889194%,0.3381309263524652%
B6,2011,6,465276.0,0.00107463097172431%,0.021707545628831062%,0.06791667741297638%,0.0988660493986365%,0.11627507114057034%,0.13153483093905552%,0.13927217393547056%,0.1446453287940921%,0.1515229670131277%,0.15990508859257732%,0.16656780061726803%,0.18161263422140836%,0.1960126892425141%,0.21643067770527602%,0.24157704244362485%,0.2650039976272148%,0.27381597159535415%,0.28262794556349347%,0.2871413956447356%,0.2916548457259777%,0.29466381244680573%,0.2993921887223927%,0.3056250483583937%,0.31293253896611906%,0.3213146605455687%,0.3322758964571566%,0.3462460990895726%,0.3591416707502644%,0.36902827569012797%,0.37719547107523277%,0.3812790687677851%,0.38428803548861323%,0.3883716331811656%,0.39374478803978713%,0.4004075000644779%,0.4072851382835134%
B7,2011,7,552528.0,0.0010859178177395534%,0.0233472330814004%,0.049952219616019464%,0.06461211015550343%,0.08053890481568356%,0.08795934323690383%,0.09031216517533953%,0.09664668577882025%,0.10334317898821417%,0.10913474068282514%,0.12035589146613385%,0.13012915182578982%,0.14533200127414356%,0.16723134393189124%,0.18297715228911476%,0.191302522225118%,0.19926591955520806%,0.2057814264616454%,0.21103002924738656%,0.21320186488286563%,0.21754553615382388%,0.22243216633365184%,0.2291286595430458%,0.23709205687313584%,0.24559841311209565%,0.257000550198361%,0.26641183795210377%,0.27202241334375815%,0.27672805722062954%,0.2808907421886312%,0.28324356412706686%,0.2863203312773289%,0.2904830162453305%,0.29482668751628877%,0.2993513450902036%,0.3033330437552486%
B8,2011,8,486171.0,0.0002056889448362819%,0.005759290455415893%,0.00987306935214153%,0.019334760814610497%,0.026739562828716645%,0.029619208056424588%,0.03393867589798651%,0.03887521057405728%,0.04360605630529176%,0.05183361409874304%,0.062118061340557126%,0.07322526436171635%,0.08680073472091095%,0.09831931563174273%,0.10469567292166748%,0.1102492744322471%,0.11395167543930015%,0.11765407644635324%,0.11868252117053464%,0.12156216639824259%,0.1250588784604594%,0.12917265735718503%,0.1339035030884195%,0.14007417143350798%,0.15118137445466717%,0.15920324330328217%,0.1635227111448441%,0.16722511215189717%,0.16989906843476885%,0.17236733577280422%,0.17442422522116705%,0.1760697367798573%,0.17894938200756524%,0.18203471618010947%,0.18655987296650767%,0.19108502975290587%
B9,2011,9,461370.0,0.0002167457788759564%,0.0028176951253874333%,0.006719119145154649%,0.008886576933914214%,0.011270780501549733%,0.014305221405813123%,0.01798989964670438%,0.021457832108719682%,0.029694171706006026%,0.0372802739666645%,0.047900817131586365%,0.05743763140212845%,0.06480698788391095%,0.06892515768255413%,0.07326007326007326%,0.07672800572208857%,0.0810629212996077%,0.08192990441511151%,0.08474759954049896%,0.0879987862236383%,0.09363417647441316%,0.09861932938856016%,0.10447146541821097%,0.11400827968875304%,0.12636278908468257%,0.1306977046622017%,0.1337321455664651%,0.13589960335522466%,0.13698333224960443%,0.13893404425948805%,0.14045126471161973%,0.1437024513947591%,0.14652014652014653%,0.149121095866658%,0.15237228254979734%,0.15692394390619244%
BA,2011,10,305374.0,0.0%,0.005894411443017415%,0.014081094002763824%,0.01702829972427253%,0.02456004767923923%,0.02783472070313779%,0.03471153405332478%,0.04584542233457989%,0.05566944140627558%,0.06811319889709012%,0.07793721796878582%,0.08677883513331194%,0.09267324657632935%,0.09725778880978735%,0.10085992913607576%,0.10446206946236418%,0.10773674248626273%,0.11166635011494103%,0.11657835965078887%,0.12018049997707728%,0.12280023839619614%,0.130004519048773%,0.13688133239895997%,0.14506801495870636%,0.14834268798260494%,0.15259976291367305%,0.15882164165908036%,0.16176884738058905%,0.16471605310209775%,0.16864566073077603%,0.17159286645228475%,0.1758499413833529%,0.17846967980247172%,0.18207182012876014%,0.18829369887416741%,0.19386064301479497%
BB,2011,11,276209.0,0.0%,0.0014481787342193774%,0.0032584021519935992%,0.009413161772425953%,0.014481787342193774%,0.02244677038040035%,0.028601530000832702%,0.035118334304819906%,0.04453149607724585%,0.05430670253322665%,0.0611855515207687%,0.0644439536727623%,0.07204689202741403%,0.07747756228073668%,0.0792877856985109%,0.08109800911628513%,0.08471845595183357%,0.08833890278738202%,0.09268343899004015%,0.09449366240781437%,0.09992433266113705%,0.10463091354735%,0.109337494433563%,0.11331998595266628%,0.11621634342110503%,0.11730247747176957%,0.11802656683887924%,0.11947474557309863%,0.120922924307318%,0.12309519240864708%,0.12526746050997614%,0.12707768392775035%,0.13106017544685364%,0.13395653291529241%,0.13793902443439568%,0.14155947126994414%
BC,2011,12,302143.0,0.00033096911065290277%,0.00033096911065290277%,0.003309691106529028%,0.0059574439917522495%,0.008936165987628374%,0.011583918872851597%,0.013900702647421916%,0.015886517311339332%,0.020851053971132873%,0.025815590630926418%,0.02780140529484383%,0.029456250848108347%,0.03144206551202576%,0.03276594195463737%,0.034089818397248985%,0.03475175661855479%,0.036406602171819305%,0.03971629327834833%,0.04137113883161285%,0.042364046163571555%,0.045342768159447676%,0.04633567549140639%,0.04865245926597671%,0.05030730481924122%,0.051300212151199925%,0.05196215037250574%,0.05394796503642315%,0.05527184147903476%,0.05626474881099347%,0.05791959436425799%,0.05791959436425799%,0.05825056347491088%,0.0599054090281754%,0.06122928547078701%,0.06321510013470442%,0.06486994568796894%
C1,2012,1,149914.0,0.0%,0.0013340982163106848%,0.007337540189708767%,0.015342129487572876%,0.03268540629961178%,0.044692290246407945%,0.06003441973398082%,0.07671064743786438%,0.09138572781728191%,0.09805621889883533%,0.10472670998038876%,0.11139720106194217%,0.11740064303534027%,0.12006883946796164%,0.12673933054951506%,0.13407687073922384%,0.13941326360446657%,0.14541670557786462%,0.1540883439838841%,0.17876916098563178%,0.19010899582427257%,0.19477833958135998%,0.19944768333844737%,0.20211587977106873%,0.2047840762036901%,0.21012046906893284%,0.21412276371786493%,0.21812505836679694%,0.22212735301572903%,0.22946489320543778%,0.23680243339514656%,0.2441399735848553%,0.24947636645009805%,0.2521445628827194%,0.25748095574796215%,0.25881505396427285%
C2,2012,2,158043.0,0.0%,0.0%,0.0006327391912327657%,0.0018982175736982972%,0.0018982175736982972%,0.0037964351473965944%,0.008225609486025954%,0.01202204463342255%,0.015185740589586378%,0.016451218972051908%,0.01898217573698297%,0.02088039331068127%,0.02088039331068127%,0.02530956764931063%,0.02784052441424169%,0.029106002796707223%,0.030371481179172755%,0.03226969875287105%,0.03416791632656935%,0.03796435147396594%,0.039229829856431475%,0.04049530823889701%,0.04176078662136254%,0.04176078662136254%,0.04176078662136254%,0.042393525812595305%,0.045557221768759135%,0.045557221768759135%,0.0461899609599919%,0.0461899609599919%,0.0461899609599919%,0.04745543934245743%,0.04745543934245743%,0.04745543934245743%,0.048720917724922964%,0.04935365691615573%
C3,2012,3,150378.0,0.0%,0.0%,0.0006649908896248121%,0.003989945337748873%,0.010639854233996994%,0.025934644695367673%,0.039234462487863914%,0.047214353163361665%,0.0492093258322361%,0.05120429850111053%,0.053864262059609785%,0.054529252949234594%,0.058519198286983466%,0.06184415273510753%,0.06450411629360678%,0.06716407985210603%,0.07447897963797896%,0.08046389764460227%,0.08578382476160076%,0.08910877920972483%,0.09442870632672333%,0.09708866988522258%,0.10107861522297143%,0.10240859700222106%,0.10373857878147069%,0.10772852411921957%,0.11105347856734363%,0.1157084147947173%,0.12235832369096543%,0.12834324169758873%,0.131003205256088%,0.131003205256088%,0.13299817792496244%,0.13366316881458723%,0.1363231323730865%,0.13765311415233614%
C4,2012,4,86991.0,0.0%,0.0%,0.002299088411444862%,0.003448632617167293%,0.004598176822889724%,0.009196353645779448%,0.013794530468669172%,0.017243163085836465%,0.02069179570300376%,0.024140428320171055%,0.025289972525893482%,0.026439516731615913%,0.028738605143060775%,0.03218723776022807%,0.03678541458311779%,0.044832224023174806%,0.0517294892575094%,0.05517812187467669%,0.05632766608039912%,0.05747721028612155%,0.05977629869756641%,0.062075387109011275%,0.062075387109011275%,0.062075387109011275%,0.06322493131473371%,0.06552401972617856%,0.06552401972617856%,0.06897265234334586%,0.06897265234334586%,0.0701221965490683%,0.07127174075479073%,0.07357082916623559%,0.07472037337195803%,0.07701946178340288%,0.07701946178340288%,0.08276718281201503%
C5,2012,5,82765.0,0.0%,0.00483296079260557%,0.013290642179665317%,0.03020600495378481%,0.037455446142693166%,0.043496647133450125%,0.04591312752975291%,0.0483296079260557%,0.05074608832235848%,0.05437080891681266%,0.05799552951126684%,0.06282849030387241%,0.06766145109647798%,0.07128617169093215%,0.07611913248353773%,0.08336857367244609%,0.08940977466320305%,0.09303449525765722%,0.0966592158521114%,0.0966592158521114%,0.0966592158521114%,0.10270041684286835%,0.10511689723917116%,0.10753337763547394%,0.10994985803177672%,0.1147828188243823%,0.12203226001329065%,0.12444874040959343%,0.1268652208058962%,0.12928170120219898%,0.12928170120219898%,0.13411466199480457%,0.13532290219295595%,0.13653114239110734%,0.13894762278741013%,0.1425723433818643%
C6,2012,6,92594.0,0.0%,0.0010799835842495193%,0.005399917921247597%,0.01511977017949327%,0.016199753763742792%,0.023759638853489428%,0.025919606021988464%,0.029159556774737024%,0.03023954035898654%,0.03563945828023414%,0.03779942544873318%,0.03995939261723222%,0.045359310538479816%,0.04643929412272934%,0.05075922845972741%,0.05183921204397693%,0.052919195628226445%,0.052919195628226445%,0.059399097133723565%,0.061559064302222605%,0.06479901505497117%,0.06587899863922068%,0.06803896580771972%,0.07019893297621876%,0.0723589001447178%,0.07451886731321684%,0.07559885089746636%,0.07667883448171588%,0.07991878523446444%,0.08099876881871396%,0.08207875240296349%,0.08423871957146252%,0.08423871957146252%,0.08531870315571204%,0.08639868673996155%,0.08639868673996155%
C7,2012,7,49539.0,0.0%,0.002018611598942248%,0.010093057994711238%,0.012111669593653486%,0.012111669593653486%,0.012111669593653486%,0.014130281192595733%,0.014130281192595733%,0.014130281192595733%,0.014130281192595733%,0.01816750439048023%,0.02624195078624922%,0.02624195078624922%,0.032297785583075965%,0.034316397182018205%,0.03633500878096046%,0.04037223197884495%,0.04642806677567169%,0.04642806677567169%,0.04642806677567169%,0.04642806677567169%,0.04642806677567169%,0.04642806677567169%,0.04642806677567169%,0.048446678374613944%,0.054502513171440684%,0.058539736369325183%,0.058539736369325183%,0.058539736369325183%,0.058539736369325183%,0.058539736369325183%,0.058539736369325183%,0.06055834796826742%,0.06459557116615193%,0.06459557116615193%,0.0807444639576899%
C8,2012,8,36253.0,0.002758392408904091%,0.011033569635616363%,0.03861749372465727%,0.05516784817808181%,0.06068463299588999%,0.06068463299588999%,0.06344302540479409%,0.06895981022260227%,0.07171820263150636%,0.07723498744931453%,0.07999337985821864%,0.08826855708493091%,0.10206051912945135%,0.10481891153835544%,0.10757730394725955%,0.11861087358287589%,0.12688605080958817%,0.13240283562739635%,0.13791962044520453%,0.1434364052630127%,0.1434364052630127%,0.14619479767191682%,0.15446997489862907%,0.16274515212534135%,0.16550354453424543%,0.1710203293520536%,0.1737787217609577%,0.18205389898767%,0.18757068380547817%,0.18757068380547817%,0.18757068380547817%,0.19032907621438228%,0.19032907621438228%,0.19308746862328635%,0.1986042534410945%,0.2041210382589027%
C9,2012,9,40223.0,0.0%,0.012430698853889565%,0.01740297839544539%,0.03480595679089078%,0.03977823633244661%,0.03977823633244661%,0.042264376103224525%,0.04972279541555826%,0.057181214727892005%,0.057181214727892005%,0.07458419312333739%,0.07955647266489323%,0.08701489197722696%,0.08950103174800488%,0.0944733112895607%,0.10690401014345026%,0.10939014991422817%,0.10939014991422817%,0.1118762896850061%,0.11436242945578401%,0.11436242945578401%,0.11684856922656191%,0.11684856922656191%,0.12430698853889567%,0.12679312830967357%,0.1317654078512294%,0.13673768739278522%,0.13922382716356313%,0.14668224647589687%,0.15165452601745272%,0.15165452601745272%,0.15165452601745272%,0.15165452601745272%,0.15165452601745272%,0.15165452601745272%,0.15165452601745272%
CA,2012,10,21968.0,0.0%,0.0%,0.013656227239621267%,0.013656227239621267%,0.013656227239621267%,0.01820830298616169%,0.022760378732702112%,0.027312454479242534%,0.0409686817188638%,0.06372906045156591%,0.14566642388929352%,0.1638747268754552%,0.18663510560815733%,0.18663510560815733%,0.2002913328477786%,0.20484340859431902%,0.20939548434085942%,0.21849963583394028%,0.22760378732702113%,0.23670793882010197%,0.25491624180626365%,0.26857246904588494%,0.2822286962855062%,0.29588492352512746%,0.3049890750182083%,0.3140932265112892%,0.32319737800437%,0.32319737800437%,0.32319737800437%,0.3277494537509104%,0.3414056809905317%,0.3414056809905317%,0.3414056809905317%,0.3414056809905317%,0.3414056809905317%,0.3459577567370721%
CB,2012,11,27114.0,0.0%,0.0%,0.0%,0.0073762631850704434%,0.0073762631850704434%,0.0073762631850704434%,0.011064394777605666%,0.018440657962676108%,0.029505052740281774%,0.0516338422954931%,0.07376263185070443%,0.07376263185070443%,0.08113889503577487%,0.08851515822084532%,0.09589142140591576%,0.09957955299845099%,0.10695581618352143%,0.11064394777605664%,0.12170834255366232%,0.12908460573873276%,0.1364608689238032%,0.1364608689238032%,0.1549015268864793%,0.15858965847901454%,0.16227779007154974%,0.16227779007154974%,0.16227779007154974%,0.16596592166408497%,0.17334218484915542%,0.17703031644169065%,0.17703031644169065%,0.18071844803422588%,0.18071844803422588%,0.18071844803422588%,0.18071844803422588%,0.18071844803422588%
CC,2012,12,17299.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.01156136192843517%,0.01156136192843517%,0.02890340482108792%,0.04624544771374068%,0.052026128677958264%,0.052026128677958264%,0.05780680964217584%,0.06936817157061102%,0.06936817157061102%,0.06936817157061102%,0.06936817157061102%,0.06936817157061102%,0.06936817157061102%,0.08671021446326377%,0.09827157639169895%,0.09827157639169895%,0.09827157639169895%,0.09827157639169895%,0.10405225735591653%,0.11561361928435168%,0.11561361928435168%,0.11561361928435168%,0.11561361928435168%,0.11561361928435168%,0.11561361928435168%,0.11561361928435168%,0.11561361928435168%,0.11561361928435168%,0.11561361928435168%,0.11561361928435168%,0.12139430024856927%
D1,2013,1,12278.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00814464896562958%,0.00814464896562958%,0.00814464896562958%,0.00814464896562958%,0.00814464896562958%,0.00814464896562958%,0.00814464896562958%,0.00814464896562958%,0.00814464896562958%,0.00814464896562958%,0.00814464896562958%,0.00814464896562958%,0.00814464896562958%,0.00814464896562958%,0.00814464896562958%
D2,2013,2,3787.0,0.0%,0.0%,0.026406126221283337%,0.026406126221283337%,0.026406126221283337%,0.026406126221283337%,0.052812252442566675%,0.052812252442566675%,0.07921837866385001%,0.15843675732770002%,0.15843675732770002%,0.18484288354898337%,0.2112490097702667%,0.2112490097702667%,0.23765513599155003%,0.23765513599155003%,0.3432796408766834%,0.3432796408766834%,0.3432796408766834%,0.36968576709796674%,0.39609189331925004%,0.4224980195405334%,0.4224980195405334%,0.4224980195405334%,0.4224980195405334%,0.44890414576181675%,0.44890414576181675%,0.44890414576181675%,0.44890414576181675%,0.44890414576181675%,0.44890414576181675%,0.47531027198310005%,0.47531027198310005%,0.47531027198310005%,0.47531027198310005%,0.47531027198310005%
D3,2013,3,7034.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.014216661927779357%,0.014216661927779357%,0.014216661927779357%,0.014216661927779357%,0.014216661927779357%,0.014216661927779357%,0.014216661927779357%,0.014216661927779357%,0.014216661927779357%,0.014216661927779357%,0.014216661927779357%,0.014216661927779357%,0.014216661927779357%,0.014216661927779357%,0.014216661927779357%,0.014216661927779357%,0.014216661927779357%,0.014216661927779357%,0.014216661927779357%,0.014216661927779357%,0.014216661927779357%,0.014216661927779357%,0.014216661927779357%,0.014216661927779357%,0.014216661927779357%,0.014216661927779357%,0.014216661927779357%,0.014216661927779357%,0.014216661927779357%,0.014216661927779357%,0.014216661927779357%
D4,2013,4,5266.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
D5,2013,5,760.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
