SN,year,month,shipping,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
A2,2010,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,2.0,3.0,5.0,4.0,3.0,5.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,4.0,3.0,1.0,1.0,0.0,2.0
A3,2010,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,10.0,9.0,9.0,22.0,27.0,36.0,22.0,15.0,16.0,5.0,4.0,4.0,6.0,3.0,8.0,9.0,10.0,16.0,11.0,8.0,6.0,3.0,3.0,1.0
A4,2010,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,13.0,5.0,9.0,9.0,26.0,27.0,28.0,10.0,8.0,10.0,6.0,7.0,7.0,3.0,4.0,3.0,12.0,8.0,8.0,8.0,3.0,3.0,2.0,3.0,0.0
A5,2010,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,3.0,7.0,24.0,26.0,49.0,37.0,21.0,17.0,16.0,14.0,7.0,7.0,14.0,8.0,14.0,13.0,25.0,14.0,14.0,8.0,5.0,5.0,6.0,2.0,4.0,4.0
A6,2010,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,5.0,9.0,10.0,17.0,27.0,36.0,34.0,19.0,13.0,11.0,9.0,3.0,5.0,3.0,10.0,11.0,5.0,11.0,21.0,9.0,3.0,3.0,6.0,4.0,2.0,2.0,0.0,6.0
A7,2010,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,20.0,11.0,14.0,35.0,48.0,56.0,43.0,29.0,23.0,17.0,16.0,13.0,22.0,10.0,22.0,22.0,19.0,26.0,12.0,12.0,9.0,8.0,11.0,1.0,10.0,11.0,7.0,9.0
A8,2010,8,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,12.0,12.0,22.0,23.0,52.0,70.0,42.0,25.0,34.0,19.0,7.0,15.0,13.0,10.0,12.0,18.0,18.0,20.0,22.0,8.0,3.0,7.0,10.0,2.0,9.0,12.0,6.0,9.0,10.0
A9,2010,9,0.0,0.0,0.0,0.0,0.0,19.0,14.0,33.0,16.0,28.0,53.0,82.0,101.0,55.0,40.0,31.0,30.0,13.0,17.0,18.0,20.0,29.0,24.0,33.0,41.0,17.0,17.0,18.0,16.0,9.0,12.0,11.0,11.0,12.0,18.0,16.0,15.0
AA,2010,10,0.0,0.0,0.0,0.0,10.0,5.0,12.0,17.0,16.0,35.0,42.0,51.0,48.0,24.0,22.0,24.0,13.0,15.0,11.0,14.0,22.0,26.0,19.0,23.0,21.0,12.0,18.0,7.0,13.0,11.0,5.0,9.0,14.0,7.0,15.0,18.0,15.0
AB,2010,11,0.0,0.0,0.0,33.0,14.0,47.0,35.0,136.0,165.0,271.0,357.0,227.0,138.0,85.0,66.0,42.0,78.0,73.0,75.0,101.0,74.0,138.0,184.0,140.0,80.0,60.0,60.0,37.0,10.0,54.0,40.0,55.0,62.0,76.0,99.0,94.0,55.0
