SN,year,month,shipping,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
B1,2011,1,38.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
B2,2011,2,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
B3,2011,3,108994.0,0.0018349633924803202%,0.03578178615336624%,0.06055379195185056%,0.09083068792777585%,0.15046699818338624%,0.21744316200891795%,0.27432702717580787%,0.29634658788557167%,0.31653118520285517%,0.32845844725397727%,0.3376332642163789%,0.3559828981411821%,0.3651577151035837%,0.3715800869772648%,0.4009395012569499%,0.4211240985742335%,0.4422261775877572%,0.47158559186744226%,0.4954401159696864%,0.5064498963245684%,0.5247995302493715%,0.5514064994403362%,0.5578288713140173%,0.5642512431876985%,0.5734260601501%,0.5807659137200213%,0.5899407306824229%,0.6147127364809072%,0.635814815494431%,0.6569168945079545%,0.6743490467365176%,0.68811127218012%,0.6963686074462815%,0.7027909793199626%,0.7046259427124428%,0.7082958694974035%
B4,2011,4,166474.0,0.0006006944027295554%,0.013815971262779773%,0.0498576354265531%,0.1507742950851184%,0.2841284524910797%,0.36942705767867656%,0.4102742770642863%,0.4469166356307892%,0.4757499669618078%,0.49317010464096495%,0.5183992695556062%,0.5508367673030022%,0.5706596825930775%,0.6325312060742219%,0.6847916191116932%,0.7412568929682714%,0.8205485541285726%,0.8728089671660438%,0.9178610473707607%,0.9599096555618294%,0.9905450701010368%,1.0079652077801937%,1.0205797902375147%,1.0410033999303194%,1.0644304816367722%,1.0902603409541431%,1.1208957554933503%,1.1599408916707714%,1.2164061655273495%,1.268666578564821%,1.2987012987012987%,1.3119165755613489%,1.325131852421399%,1.3317394908514242%,1.3401492124896381%,1.355166572557877%
B5,2011,5,224811.0,0.0%,0.006672271374621349%,0.03469581114803101%,0.10942525054379011%,0.15613115016613954%,0.1837098718479078%,0.20328186788013042%,0.22329868200399444%,0.23263986192846434%,0.249098131319197%,0.26733567307649536%,0.27712167109260666%,0.2966936671248293%,0.3211586621651076%,0.3500718381218001%,0.3927743749193767%,0.4239116413342764%,0.44170436499993326%,0.4590522705739488%,0.47328644950647436%,0.48663099225571704%,0.49419289981362124%,0.5084270787461468%,0.5226612576786723%,0.5328920737864251%,0.5484607069938748%,0.5680327030260975%,0.5996147875326385%,0.6307520539475382%,0.6454310509717052%,0.6574411394460236%,0.6650030470039278%,0.6738994088367563%,0.6832405887612261%,0.6930265867773374%,0.7068159476182215%
B6,2011,6,406305.0,0.0%,0.008614218382742029%,0.07039047021326343%,0.1223219010349368%,0.1476723151327205%,0.17277660870528297%,0.19246625072297904%,0.20181883068138468%,0.21732442377032035%,0.23332225790969838%,0.25251965887695205%,0.295344630265441%,0.32832478064508186%,0.36991914940746484%,0.427757472834447%,0.46984408264727234%,0.5028242330269133%,0.5254673213472638%,0.5394961912848723%,0.5481104096676143%,0.5554940254242502%,0.5695228953618587%,0.5847823679255731%,0.602995286791942%,0.6300685445662741%,0.6650176591476846%,0.7078426305361736%,0.739099937239266%,0.756082253479529%,0.7703572439423586%,0.7848783549304095%,0.7915236091113819%,0.7986611043427967%,0.8114593716542992%,0.8232731568649168%,0.8368097857520829%
B7,2011,7,600150.0,0.00016662501041406314%,0.013330000833125053%,0.04448887778055486%,0.07164875447804715%,0.09364325585270349%,0.11597100724818794%,0.12730150795634423%,0.14229775889360993%,0.16212613513288343%,0.1849537615596101%,0.2397733899858369%,0.2860951428809464%,0.35124552195284514%,0.4157294009830875%,0.4735482795967675%,0.5100391568774473%,0.5376989086061817%,0.5570274098142131%,0.575022910938932%,0.5863534116470882%,0.6086811630425727%,0.6245105390319087%,0.6476714154794634%,0.6774972923435808%,0.7138215446138465%,0.7668082979255186%,0.8061318003832375%,0.8286261767891361%,0.8461218028826126%,0.862950928934433%,0.873448304590519%,0.8852786803299175%,0.899775056235941%,0.9157710572356912%,0.9331000583187538%,0.9467633091727068%
B8,2011,8,634386.0,0.00015763273464420715%,0.002995021958239936%,0.011349556894382915%,0.026955197624159422%,0.037201325376032886%,0.04350663476180117%,0.051861169697944146%,0.06715154495843224%,0.08732853499289076%,0.12421459489963525%,0.17323837537398368%,0.23723726563953176%,0.30375827965938723%,0.36696900625171425%,0.4046432298316798%,0.4383766350455401%,0.46359787258861324%,0.48077984066483187%,0.49339045943636833%,0.5149861440826248%,0.5346902359131507%,0.557074084232628%,0.589704060303979%,0.6362057170240201%,0.7022538328399428%,0.7552184316803965%,0.7826465275084885%,0.8015624556657934%,0.8163799327223489%,0.8253649985970687%,0.8359263918182305%,0.8486946433244112%,0.8649308149927646%,0.8829009467422042%,0.9013439766955764%,0.9249888868922076%
B9,2011,9,1027865.0,0.0%,0.0029186712262797157%,0.00904788080146712%,0.017901183521182255%,0.02247376844235381%,0.03220267252995287%,0.04232073278105588%,0.05895715877085026%,0.09475952581321477%,0.1291998462833154%,0.1817359283563503%,0.23368827618412924%,0.2760090089651851%,0.29858006644841495%,0.31745414037835706%,0.3320474965097556%,0.3409980882703468%,0.3458625403141463%,0.3603586074046689%,0.37436822929081154%,0.390323631994474%,0.41240824427332384%,0.4486970565200683%,0.48780725095221644%,0.5203017906047973%,0.5370355056354678%,0.5481264562953306%,0.5611631877727133%,0.5671951083070248%,0.5777996137625078%,0.5861664712778429%,0.5973547109785818%,0.6080565054749407%,0.6220661273610835%,0.6405510451275217%,0.6590359628939598%
BA,2011,10,642236.0,0.0%,0.0006228240086198842%,0.004515474062494161%,0.008252418114213468%,0.02070889828661115%,0.03300967245685387%,0.05200580471976034%,0.08205706313566975%,0.11537814759683357%,0.15461606013988627%,0.19260832466569922%,0.22421664310315836%,0.23916441931003557%,0.25644778554923736%,0.27731238983800344%,0.28992457601255617%,0.2977098761203047%,0.31374759434226673%,0.3249584264974246%,0.34052902671292173%,0.3581238049564334%,0.3836595893098487%,0.4104410216805038%,0.4348868640188342%,0.45170311225157106%,0.467896536475688%,0.4800416046437758%,0.48813831675583425%,0.49794779489159746%,0.506355919007966%,0.5177224571652788%,0.5306460553441414%,0.543413947520849%,0.5580503117234163%,0.570195379891504%,0.581406212046662%
