SN,2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01
B1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3,,,2.0,37.0,27.0,33.0,65.0,73.0,62.0,24.0,22.0,13.0,10.0,20.0,10.0,7.0,32.0,22.0,23.0,32.0,26.0,12.0,20.0,29.0,7.0,7.0,10.0,8.0,10.0,27.0,23.0,23.0,19.0,15.0,9.0,7.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B4,,,,1.0,22.0,60.0,168.0,222.0,142.0,68.0,61.0,48.0,29.0,42.0,54.0,33.0,103.0,87.0,94.0,132.0,87.0,75.0,70.0,51.0,29.0,21.0,34.0,39.0,43.0,51.0,65.0,94.0,87.0,50.0,22.0,22.0,11.0,14.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B5,,,,,0.0,15.0,63.0,168.0,105.0,62.0,44.0,45.0,21.0,37.0,41.0,22.0,44.0,55.0,65.0,96.0,70.0,40.0,39.0,32.0,30.0,17.0,32.0,32.0,23.0,35.0,44.0,71.0,70.0,33.0,27.0,17.0,20.0,21.0,22.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B6,,,,,,0.0,35.0,251.0,211.0,103.0,102.0,80.0,38.0,63.0,65.0,78.0,174.0,134.0,169.0,235.0,171.0,134.0,92.0,57.0,35.0,30.0,57.0,62.0,74.0,110.0,142.0,174.0,127.0,69.0,58.0,59.0,27.0,29.0,52.0,48.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B7,,,,,,,1.0,79.0,187.0,163.0,132.0,134.0,68.0,90.0,119.0,137.0,329.0,278.0,391.0,387.0,347.0,219.0,166.0,116.0,108.0,68.0,134.0,95.0,139.0,179.0,218.0,318.0,236.0,135.0,105.0,101.0,63.0,71.0,87.0,96.0,104.0,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B8,,,,,,,,1.0,18.0,53.0,99.0,65.0,40.0,53.0,97.0,128.0,234.0,311.0,406.0,422.0,401.0,239.0,214.0,160.0,109.0,80.0,137.0,125.0,142.0,207.0,295.0,419.0,336.0,174.0,120.0,94.0,57.0,67.0,81.0,103.0,114.0,117.0,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B9,,,,,,,,,0.0,30.0,63.0,91.0,47.0,100.0,104.0,171.0,368.0,354.0,540.0,534.0,435.0,232.0,194.0,150.0,92.0,50.0,149.0,144.0,164.0,227.0,373.0,402.0,334.0,172.0,114.0,134.0,62.0,109.0,86.0,115.0,110.0,144.0,190.0,190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,,,,,,,,,,0.0,4.0,25.0,24.0,80.0,79.0,122.0,193.0,214.0,252.0,244.0,203.0,96.0,111.0,134.0,81.0,50.0,103.0,72.0,100.0,113.0,164.0,172.0,157.0,108.0,104.0,78.0,52.0,63.0,54.0,73.0,83.0,82.0,94.0,78.0,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
