SN,year,month,shipping,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
C1,2012,1,22.0,0.0%,0.0%,0.0%,0.0%,13.636363636363635%,31.818181818181817%,36.36363636363637%,36.36363636363637%,40.909090909090914%,50.0%,59.09090909090909%,63.63636363636363%,68.18181818181817%,68.18181818181817%,68.18181818181817%,68.18181818181817%,72.72727272727273%,77.27272727272727%,81.81818181818183%,81.81818181818183%,81.81818181818183%,81.81818181818183%,81.81818181818183%,81.81818181818183%,81.81818181818183%,81.81818181818183%,81.81818181818183%,86.36363636363636%,86.36363636363636%,90.9090909090909%,90.9090909090909%,100.0%,104.54545454545455%,109.09090909090908%,113.63636363636364%,113.63636363636364%
C2,2012,2,664.0,0.0%,0.0%,0.0%,0.15060240963855423%,0.30120481927710846%,0.6024096385542169%,0.6024096385542169%,0.7530120481927711%,1.0542168674698795%,1.5060240963855422%,1.6566265060240966%,1.957831325301205%,1.957831325301205%,2.108433734939759%,2.5602409638554215%,2.86144578313253%,3.0120481927710845%,3.1626506024096384%,3.463855421686747%,3.614457831325301%,3.614457831325301%,3.614457831325301%,3.91566265060241%,3.91566265060241%,4.216867469879518%,4.216867469879518%,4.367469879518072%,4.518072289156627%,4.66867469879518%,4.819277108433735%,4.819277108433735%,5.120481927710843%,5.120481927710843%,5.120481927710843%,5.120481927710843%,5.120481927710843%
C3,2012,3,62014.0,0.0%,0.003225078208146548%,0.025800625665172383%,0.058051407746637855%,0.11610281549327571%,0.2080175444254523%,0.2950946560454091%,0.34347082916760735%,0.3757216112490728%,0.3950720804979521%,0.4095849324346115%,0.41926016705905117%,0.4498984100364434%,0.4853742703260554%,0.5208501306156674%,0.5789015383623053%,0.641790563421163%,0.6901667365433611%,0.7433805269777792%,0.7627309962266584%,0.7885316218918309%,0.801431934724417%,0.806269552036637%,0.8159447866610766%,0.8320701777018092%,0.8514206469506886%,0.872383655303641%,0.8901215854484471%,0.9046344373851066%,0.9336601412584254%,0.9578482278195246%,0.9626858451317444%,0.9788112361724771%,0.9852613925887703%,0.9868739316928437%,0.99493662721321%
C4,2012,4,147437.0,0.0%,0.0006782557973914283%,0.0264519760982657%,0.0841037188765371%,0.15260755441307133%,0.21568534357047417%,0.23738952908699987%,0.2577372030087427%,0.274015342146137%,0.2807979001200513%,0.2862239464991827%,0.30318034143396844%,0.32691929434266837%,0.34658871246701983%,0.38050150233659125%,0.41984033858529407%,0.4612139422261712%,0.4991962668800911%,0.5215787081940083%,0.5351438241418369%,0.5459959169000996%,0.548030684292274%,0.552778474874014%,0.5588827770505368%,0.5744826603905396%,0.5846564973514111%,0.600256380691414%,0.6165345198288082%,0.6348474263583769%,0.6490907981035967%,0.6579081234696854%,0.6646906814435997%,0.6680819604305568%,0.6741862626070796%,0.6775775415940367%,0.6830035879731683%
C5,2012,5,254921.0,0.0%,0.0015691135685173053%,0.09453909250316765%,0.2208527347688107%,0.33147524134928075%,0.3777640916205413%,0.41503053887282726%,0.43425218008716426%,0.4511201509487253%,0.46288850271260507%,0.4887788765931407%,0.5103541881602536%,0.5323217781194959%,0.5640963278819713%,0.6037164454870333%,0.6515744093268111%,0.6833489590892865%,0.7017860435193648%,0.7213999631258312%,0.7382679339873922%,0.7437598314772027%,0.7531745128883066%,0.7661196998285743%,0.7810262787294887%,0.7912255169248513%,0.804170703865119%,0.8179004475896454%,0.8292765209613959%,0.8437908214701809%,0.8551668948419313%,0.8610510707238714%,0.8673275249979404%,0.8724271440956218%,0.8736039792720097%,0.881057268722467%,0.8892951149571828%
C6,2012,6,456270.0,0.0%,0.003506695596905341%,0.023889363753917637%,0.042737852587283846%,0.0528196024283867%,0.062024678370263216%,0.07035308041291341%,0.07802397703114385%,0.08372235737611503%,0.09380410721721788%,0.10191334078506148%,0.11177592215135775%,0.12558353606417252%,0.1378569706533412%,0.15473294321344816%,0.16875972560106953%,0.17752646459333288%,0.18585486663598308%,0.19440243715343986%,0.19768996427553862%,0.2029500076708966%,0.20821005106625465%,0.21281258903719288%,0.2193876432813904%,0.224866855151555%,0.23231858329497884%,0.23867446906436976%,0.2463453656826002%,0.2535779253512175%,0.25664628399850964%,0.2581804633221557%,0.25993381112060837%,0.26124882196944793%,0.26475551756635324%,0.2678238762136454%,0.26935805553729153%
C7,2012,7,453764.0,0.0%,0.0068317451362382205%,0.027547359420315404%,0.04517766944931726%,0.06611366260875698%,0.08374397263775883%,0.0996112516638605%,0.10974867993053658%,0.12980315758852617%,0.151620666249416%,0.16814908190160524%,0.18688128630741974%,0.2078172794668594%,0.23470350226108727%,0.2558598742958895%,0.2767958674553292%,0.29618920848723124%,0.32660149328725946%,0.34158725681191104%,0.3594379457162754%,0.3764071191191897%,0.3885279572641285%,0.40241182641196743%,0.4134307701800936%,0.4268738815772075%,0.4389947197221463%,0.44736911698592224%,0.45618427200042316%,0.46235488051057383%,0.46786435239463686%,0.47249230877724985%,0.47910367503812556%,0.4872576934265389%,0.49232640755987694%,0.4976155005685775%,0.502904593577278%
C8,2012,8,763481.0,0.0%,0.005370140186854683%,0.01663433667635475%,0.02829147025269784%,0.04034154091588396%,0.04990301002906425%,0.057499793708029406%,0.07085965466069227%,0.0865771381344133%,0.09967504102918082%,0.11211804877920994%,0.12914532254240774%,0.15350742192667532%,0.1704037166609254%,0.18337064052674526%,0.19489679507414068%,0.20878057214259424%,0.21650833485050708%,0.2260698039636874%,0.2327497344400188%,0.23942966491635023%,0.24846721791373982%,0.25567106450586197%,0.2653635126479899%,0.2740081285585365%,0.28003316389012956%,0.2855342831059319%,0.28880875882962376%,0.2927381296980541%,0.29561966833490294%,0.29915610211649013%,0.30374036812965877%,0.30740778094019366%,0.3104202986059902%,0.31513554364810653%,0.3189339354875891%
C9,2012,9,1089966.0,0.0%,0.002385395507749783%,0.007981900352855044%,0.017798720327056074%,0.02504665283137272%,0.030459665714343383%,0.04128569148028471%,0.05550631854571611%,0.06724980412233042%,0.08293836688483862%,0.10128756309829848%,0.12147167893310433%,0.13670151179027604%,0.14752753755621734%,0.1567938816440146%,0.17147323861478247%,0.17734498140308963%,0.18642783352875228%,0.19413449593840543%,0.20110719049952017%,0.20991480468198093%,0.21752972111056673%,0.2253281295012872%,0.23129161827066166%,0.23697986909683422%,0.24202589805553568%,0.24606272122249684%,0.24798938682491015%,0.2512004961622656%,0.2536776376510827%,0.2567052550263036%,0.25881541259085145%,0.26110906211753393%,0.264503663417024%,0.2682652486407833%,0.27147635797813874%
CA,2012,10,720863.0,0.0%,0.0009710583009531631%,0.005826349805718978%,0.01303992575565676%,0.018450107718110096%,0.029825362100704293%,0.041200616483298494%,0.055211600539908416%,0.07213575949937782%,0.09502499087898811%,0.11944017101723906%,0.13941622749398982%,0.15203998540638097%,0.1616118458014907%,0.1739581584850381%,0.18006195351960083%,0.18755297469838234%,0.19310187927525757%,0.2026737396703673%,0.20919370254819572%,0.21904300817214922%,0.2319442113133841%,0.2412386264796501%,0.25094920948918176%,0.2562206688372132%,0.25968873419776023%,0.2620470186429321%,0.2650989161602135%,0.2666248649188542%,0.2689831493640262%,0.27106398858035435%,0.2759192800851202%,0.2802196811321985%,0.2849362500225424%,0.28965281891288636%,0.29547916871860536%
CB,2012,11,903843.0,0.0%,0.001217025523237996%,0.006085127616189979%,0.009072372082319606%,0.015157499698509588%,0.023787317045106286%,0.0361788496453477%,0.05155762671171874%,0.06903853877277359%,0.0929364945018106%,0.11108123866644982%,0.12092808153628451%,0.12811959599178174%,0.13763452280982427%,0.14206007016705335%,0.14770264304752043%,0.1542303253994333%,0.16263886537816855%,0.1690559090461507%,0.17547295271413285%,0.18443468611252176%,0.1907410910965732%,0.19815388291993188%,0.20280070764502242%,0.20634114553080568%,0.2092177513130046%,0.211873079727342%,0.21320074393451077%,0.2154135176131253%,0.21784756865960128%,0.22127736786145383%,0.22514972179902923%,0.22747313416157453%,0.22968590784018905%,0.23278379099024943%,0.2348859259849332%
CC,2012,12,938821.0,0.0%,0.001278198932490858%,0.0026629144426892877%,0.006071444929331577%,0.008840875949728436%,0.012995022480323727%,0.022474997896297588%,0.0329136225116396%,0.04846504285694504%,0.05901018404999462%,0.06678589422264734%,0.07200520653031835%,0.07946136696984835%,0.08318944718961335%,0.08926089211894493%,0.09522582047056893%,0.10140378197760808%,0.1069426440184018%,0.11312060552544095%,0.11887250072164982%,0.12345271356307538%,0.12771337667137825%,0.13112190715802055%,0.13293268897904925%,0.13506302053320068%,0.13591515315486125%,0.13740638524276724%,0.1402823328408717%,0.14251918097273067%,0.1440104130606367%,0.14603422803708055%,0.14869714247976984%,0.15210567296641211%,0.1544490376759787%,0.15604678634159228%,0.15764453500720585%
D1,2013,1,948972.0,0.0%,0.00042150874841407335%,0.00379357873572666%,0.009905455587730722%,0.01791412180759812%,0.027714200208225324%,0.040254085473544005%,0.05732518978431398%,0.07081346973356432%,0.07766298689529301%,0.08377486374729708%,0.09146739840585391%,0.09452333683185594%,0.09905455587730723%,0.10442879241958666%,0.10948689740055553%,0.11443962519442091%,0.1206568792335285%,0.12792790514367128%,0.13425053636988235%,0.13973015009926532%,0.14457750070602715%,0.14794957069333975%,0.15016249162251363%,0.15216465817748048%,0.15363993879692972%,0.1562743684745177%,0.15964643846183027%,0.1621754909523147%,0.16480992062990268%,0.1682873678043188%,0.17155406060452785%,0.17439924465632284%,0.1765067883983932%,0.1793519724501882%,0.1821971565019832%
D2,2013,2,658037.0,0.0%,0.00030393427725188704%,0.0034952441883967012%,0.009725896872060385%,0.017324253803357562%,0.02765801922992172%,0.0387516203496156%,0.04832555008305004%,0.05501210418259155%,0.05941915120274392%,0.06488996819327789%,0.06762537668854487%,0.07005685090655996%,0.07309619367907884%,0.07704733928335336%,0.07978274777862035%,0.08479766335327649%,0.08966061178930668%,0.09406765880945904%,0.09771487013648168%,0.09969044293861894%,0.10029831149312274%,0.10227388429525999%,0.10364158854289347%,0.10470535851327509%,0.10698486559266424%,0.10896043839480152%,0.11017617550380905%,0.11291158399907603%,0.11443125538533547%,0.11671076246472464%,0.11914223668273971%,0.12111780948487699%,0.12202961231663266%,0.12339731656426614%,0.12415715225739586%
D3,2013,3,1034828.0,0.0%,0.0002899032496221594%,0.0018360539142736763%,0.0043485487443323916%,0.007730753323257585%,0.011112957902182778%,0.013335549482619332%,0.015654775479596608%,0.017200926144248126%,0.018650442392358923%,0.019230248891603244%,0.02058313072317332%,0.022322550220906276%,0.024448507384802115%,0.02696100221486083%,0.027927346380268024%,0.029666765878000986%,0.031985991874978255%,0.03372541137271121%,0.03449848670503697%,0.034981658787740566%,0.035561465286984895%,0.03633454061931065%,0.03652780945239209%,0.03788069128396216%,0.038170594533584325%,0.03913693869899152%,0.040006648447858%,0.04135953027942808%,0.04213260561175384%,0.043292218610242475%,0.044161928359108954%,0.04483836927489399%,0.04580471344030119%,0.04715759527187127%,0.047544132938034146%
D4,2013,4,760330.0,0.0%,0.0007891310352083963%,0.0027619586232293875%,0.005129351728854576%,0.01104783449291755%,0.015651098864966528%,0.018676101166598714%,0.021964147146633698%,0.024989149448265885%,0.027619586232293873%,0.02906632646350927%,0.030513066694724658%,0.03235437244354425%,0.03353806899635685%,0.03498480922757224%,0.037220680493996024%,0.03945655176041982%,0.040771770152433814%,0.040771770152433814%,0.04182394486604501%,0.042744597740454804%,0.0436652506148646%,0.0443228598108716%,0.045901121881288386%,0.04682177475569819%,0.04800547130851078%,0.04866308050451778%,0.04905764602212197%,0.050898951770941565%,0.05247721384135836%,0.05326634487656676%,0.05405547591177515%,0.05550221614299054%,0.05668591269580314%,0.05694895637420594%,0.05747504373101154%
D5,2013,5,837185.0,0.0%,0.0009555832940150624%,0.00430012482306778%,0.009078041293143093%,0.013378166116210873%,0.01612546808650418%,0.021500624115338905%,0.025681301026654803%,0.029981425849722583%,0.03225093617300836%,0.03499823814330166%,0.03858167549585814%,0.04120952955439956%,0.04491241481870793%,0.04873474799476818%,0.05136260205330961%,0.05422935193535479%,0.05614051852338492%,0.05805168511141504%,0.058887820493678224%,0.0597239558759414%,0.06103788290521211%,0.06330739322849789%,0.06474076816952047%,0.06653248684579872%,0.06832420552207696%,0.07035482002185897%,0.07178819496288157%,0.07346046572740791%,0.07537163231543804%,0.07656611143295687%,0.07728279890346818%,0.07823838219748323%,0.07859672593273888%,0.0790745175797464%,0.08014954878551336%
D6,2013,6,1300625.0,0.0%,0.0007688611244593944%,0.0027679000480538203%,0.007688611244593945%,0.012224891878904373%,0.017914464199903894%,0.021989428159538683%,0.02383469485824123%,0.028524747717443535%,0.03190773666506487%,0.0364440172993753%,0.03951946179721288%,0.043056222969726096%,0.04659298414223931%,0.04966842864007688%,0.05220567035079289%,0.054204709274387315%,0.05658817876021143%,0.057433925997116775%,0.058894762133589615%,0.06058625660740029%,0.06220086496876502%,0.0631234983181163%,0.06396924555502162%,0.06558385391638635%,0.06673714560307545%,0.06773666506487266%,0.06935127342623738%,0.07119654012493994%,0.07242671792407496%,0.0732724651609803%,0.07442575684766939%,0.07465641518500721%,0.07573282075925035%,0.07673234022104758%,0.07780874579529072%
D7,2013,7,761634.0,0.0%,0.0009190766168527141%,0.005251866382015509%,0.013129665955038772%,0.02061357554941087%,0.02822878180333336%,0.031511198292093055%,0.035843988057255846%,0.040308074481969026%,0.04542864420443415%,0.0502866206077985%,0.05475070703251168%,0.06144683666958145%,0.0663048130729458%,0.07050630617855821%,0.0727383493909148%,0.07628335919877527%,0.0781215124324807%,0.0802222589852869%,0.08166652224034116%,0.08402986211224814%,0.08534282870775202%,0.08665579530325589%,0.08823135521786055%,0.08993821179201558%,0.09230155166392257%,0.09387711157852723%,0.09650304476953497%,0.0983411980032404%,0.0996541645987443%,0.10070453787514738%,0.10136102117289932%,0.10306787774705437%,0.1038556577043567%,0.10543121761896135%,0.10635029423581406%
D8,2013,8,1152507.0,0.0%,0.0009544410576248127%,0.003297160017249353%,0.007722295829873484%,0.01197389690474765%,0.01431661586437219%,0.017613775881621545%,0.021691842218745743%,0.026897884351244718%,0.03140978753274384%,0.03505401702549312%,0.03843794441161746%,0.04216894127324172%,0.04511903181499114%,0.04737498340574071%,0.04963093499649025%,0.05145304974286491%,0.052841327644864634%,0.05431637291573933%,0.05674585924423886%,0.058220904515113574%,0.05900181083498842%,0.06125776242573797%,0.06299310980323763%,0.06403431822973744%,0.0668108740337369%,0.06889329088673649%,0.07071540563311111%,0.071322777215236%,0.07210368353511085%,0.07262428774836074%,0.07349196143711058%,0.07401256565036048%,0.07505377407686027%,0.07652881934773498%,0.07757002777423477%
