SN,year,month,shipping,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
C1,2012,1,22.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0
C2,2012,2,664.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,3.0,1.0,2.0,0.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
C3,2012,3,62014.0,0.0,2.0,14.0,20.0,36.0,57.0,54.0,30.0,20.0,12.0,9.0,6.0,19.0,22.0,22.0,36.0,39.0,30.0,33.0,12.0,16.0,8.0,3.0,6.0,10.0,12.0,13.0,11.0,9.0,18.0,15.0,3.0,10.0,4.0,1.0,5.0
C4,2012,4,147437.0,0.0,1.0,38.0,85.0,101.0,93.0,32.0,30.0,24.0,10.0,8.0,25.0,35.0,29.0,50.0,58.0,61.0,56.0,33.0,20.0,16.0,3.0,7.0,9.0,23.0,15.0,23.0,24.0,27.0,21.0,13.0,10.0,5.0,9.0,5.0,8.0
C5,2012,5,254921.0,0.0,4.0,237.0,322.0,282.0,118.0,95.0,49.0,43.0,30.0,66.0,55.0,56.0,81.0,101.0,122.0,81.0,47.0,50.0,43.0,14.0,24.0,33.0,38.0,26.0,33.0,35.0,29.0,37.0,29.0,15.0,16.0,13.0,3.0,19.0,21.0
C6,2012,6,456270.0,0.0,16.0,93.0,86.0,46.0,42.0,38.0,35.0,26.0,46.0,37.0,45.0,63.0,56.0,77.0,64.0,40.0,38.0,39.0,15.0,24.0,24.0,21.0,30.0,25.0,34.0,29.0,35.0,33.0,14.0,7.0,8.0,6.0,16.0,14.0,7.0
C7,2012,7,453764.0,0.0,31.0,94.0,80.0,95.0,80.0,72.0,46.0,91.0,99.0,75.0,85.0,95.0,122.0,96.0,95.0,88.0,138.0,68.0,81.0,77.0,55.0,63.0,50.0,61.0,55.0,38.0,40.0,28.0,25.0,21.0,30.0,37.0,23.0,24.0,24.0
C8,2012,8,763481.0,0.0,41.0,86.0,89.0,92.0,73.0,58.0,102.0,120.0,100.0,95.0,130.0,186.0,129.0,99.0,88.0,106.0,59.0,73.0,51.0,51.0,69.0,55.0,74.0,66.0,46.0,42.0,25.0,30.0,22.0,27.0,35.0,28.0,23.0,36.0,29.0
C9,2012,9,1089966.0,0.0,26.0,61.0,107.0,79.0,59.0,118.0,155.0,128.0,171.0,200.0,220.0,166.0,118.0,101.0,160.0,64.0,99.0,84.0,76.0,96.0,83.0,85.0,65.0,62.0,55.0,44.0,21.0,35.0,27.0,33.0,23.0,25.0,37.0,41.0,35.0
CA,2012,10,720863.0,0.0,7.0,35.0,52.0,39.0,82.0,82.0,101.0,122.0,165.0,176.0,144.0,91.0,69.0,89.0,44.0,54.0,40.0,69.0,47.0,71.0,93.0,67.0,70.0,38.0,25.0,17.0,22.0,11.0,17.0,15.0,35.0,31.0,34.0,34.0,42.0
CB,2012,11,903843.0,0.0,11.0,44.0,27.0,55.0,78.0,112.0,139.0,158.0,216.0,164.0,89.0,65.0,86.0,40.0,51.0,59.0,76.0,58.0,58.0,81.0,57.0,67.0,42.0,32.0,26.0,24.0,12.0,20.0,22.0,31.0,35.0,21.0,20.0,28.0,19.0
CC,2012,12,938821.0,0.0,12.0,13.0,32.0,26.0,39.0,89.0,98.0,146.0,99.0,73.0,49.0,70.0,35.0,57.0,56.0,58.0,52.0,58.0,54.0,43.0,40.0,32.0,17.0,20.0,8.0,14.0,27.0,21.0,14.0,19.0,25.0,32.0,22.0,15.0,15.0
D1,2013,1,948972.0,0.0,4.0,32.0,58.0,76.0,93.0,119.0,162.0,128.0,65.0,58.0,73.0,29.0,43.0,51.0,48.0,47.0,59.0,69.0,60.0,52.0,46.0,32.0,21.0,19.0,14.0,25.0,32.0,24.0,25.0,33.0,31.0,27.0,20.0,27.0,27.0
