SN,year,month,shipping,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
D4,2013,4,4326.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.02311604253351826%,0.02311604253351826%,0.02311604253351826%,0.02311604253351826%,0.02311604253351826%,0.02311604253351826%,0.02311604253351826%,0.02311604253351826%,0.02311604253351826%,0.04623208506703652%,0.06934812760055478%,0.1155802126675913%,0.1155802126675913%,0.1155802126675913%,0.1155802126675913%,0.1155802126675913%,0.1155802126675913%,0.1155802126675913%,0.1155802126675913%,0.1155802126675913%,0.1155802126675913%,0.1155802126675913%,0.13869625520110956%,0.13869625520110956%,0.13869625520110956%,0.13869625520110956%,0.18492834026814609%,0.18492834026814609%,0.20804438280166435%,0.20804438280166435%,0.20804438280166435%
D5,2013,5,49675.0,0.0%,0.0%,0.0020130850528434826%,0.0020130850528434826%,0.010065425264217413%,0.010065425264217413%,0.018117765475591345%,0.02415702063412179%,0.02415702063412179%,0.026170105686965275%,0.028183190739808756%,0.03623553095118269%,0.03623553095118269%,0.03623553095118269%,0.03623553095118269%,0.038248616004026174%,0.038248616004026174%,0.038248616004026174%,0.038248616004026174%,0.044287871162556613%,0.044287871162556613%,0.044287871162556613%,0.0463009562154001%,0.050327126321087066%,0.05234021137393055%,0.05435329642677403%,0.058379466532461%,0.058379466532461%,0.058379466532461%,0.062405636638147965%,0.06441872169099144%,0.06643180674383493%,0.07045797684952189%,0.07045797684952189%,0.07247106190236538%,0.07247106190236538%
D6,2013,6,52463.0,0.0%,0.0%,0.0019061052551321885%,0.009530526275660943%,0.01143663153079313%,0.017154947296189695%,0.019061052551321886%,0.02096715780645407%,0.02096715780645407%,0.02477936831671845%,0.026685473571850638%,0.032403789337247205%,0.03621599984751158%,0.03812210510264377%,0.040028210357775956%,0.04193431561290814%,0.04193431561290814%,0.04193431561290814%,0.04193431561290814%,0.04193431561290814%,0.04384042086804033%,0.04765263137830471%,0.04765263137830471%,0.0495587366334369%,0.053370947143701275%,0.053370947143701275%,0.055277052398833466%,0.060995368164230034%,0.060995368164230034%,0.06480757867449441%,0.0667136839296266%,0.07243199969502316%,0.07433810495015535%,0.07815031546041971%,0.08005642071555191%,0.0819625259706841%
D7,2013,7,64824.0,0.0%,0.0%,0.0030852770578797977%,0.0061705541157595955%,0.0061705541157595955%,0.009255831173639394%,0.010798469702579291%,0.012341108231519191%,0.01388374676045909%,0.015426385289398988%,0.016969023818338886%,0.016969023818338886%,0.018511662347278787%,0.020054300876218685%,0.023139577934098484%,0.02622485499197828%,0.02931013204985808%,0.030852770578797976%,0.030852770578797976%,0.032395409107737874%,0.032395409107737874%,0.03393804763667777%,0.03548068616561768%,0.037023324694557574%,0.03856596322349747%,0.04010860175243737%,0.04473651733925707%,0.047821794397136866%,0.050907071455016654%,0.05399234851289646%,0.05707762557077625%,0.05707762557077625%,0.06016290262865605%,0.06016290262865605%,0.06170554115759595%,0.06324817968653584%
D8,2013,8,122647.0,0.0%,0.0%,0.0%,0.002446044338630378%,0.005707436790137549%,0.008153481128767927%,0.010599525467398304%,0.016306962257535855%,0.02038370282191982%,0.02609113961205737%,0.03424462074082529%,0.03913670941808605%,0.03995205753096284%,0.04158275375671643%,0.04647484243397719%,0.048920886772607565%,0.05136693111123795%,0.05381297544986832%,0.05462832356274511%,0.05462832356274511%,0.058705064127129086%,0.06033576035288266%,0.0660431971430202%,0.06930458959452739%,0.07419667827178815%,0.08805759619069362%,0.09131898864220078%,0.09458038109370796%,0.09539572920658475%,0.09947246977096871%,0.10028781788384551%,0.10436455844822948%,0.10925664712549021%,0.1117026914641206%,0.11741012825425817%,0.12067152070576533%
D9,2013,9,236199.0,0.0%,0.0008467436356631484%,0.0029636027248210193%,0.00508046181397889%,0.007620692720968336%,0.01100766726362093%,0.01735824453109454%,0.020745219073747136%,0.02836591179471547%,0.032599629973031216%,0.0376800917870101%,0.04191380996532584%,0.04445404087231529%,0.04995787450412576%,0.05207473359328362%,0.055461708135936226%,0.06054216994991512%,0.061812285403409835%,0.06223565722124141%,0.06265902903907299%,0.06477588812823086%,0.065622631763894%,0.06689274721738872%,0.06816286267088345%,0.07239658084919919%,0.07620692720968336%,0.08086401720583067%,0.08467436356631484%,0.09144831265162003%,0.0918716844694516%,0.09398854355860947%,0.09610540264776735%,0.09737551810126206%,0.0982222617369252%,0.09991574900825152%,0.10118586446174622%
DA,2013,10,297371.0,0.0%,0.00033628026942775186%,0.0030265224248497667%,0.006389325119127286%,0.009415847543977052%,0.01076096862168806%,0.015132612124248835%,0.01984053589623736%,0.02320333859051488%,0.026566141284792396%,0.028920103170786658%,0.03295546640391968%,0.0363182690981972%,0.03968107179247472%,0.041026192870185725%,0.042707594217324486%,0.044052715295035495%,0.045397836372746504%,0.046742957450457506%,0.048088078528168515%,0.04976947987530727%,0.05077832068359053%,0.05313228256958479%,0.05313228256958479%,0.05481368391672355%,0.057840206341573316%,0.059185327419284325%,0.06254813011356185%,0.06389325119127286%,0.06490209199955611%,0.06591093280783936%,0.06691977361612263%,0.06691977361612263%,0.06826489469383364%,0.06860117496326139%,0.0706188565798279%
DB,2013,11,391724.0,0.0%,0.0005105635600575916%,0.002297536020259162%,0.004595072040518324%,0.00842429874095026%,0.019911978842246072%,0.029867968263369106%,0.03701585810417539%,0.04518487506509686%,0.051056356005759154%,0.05616199160633507%,0.0605017818668246%,0.06330988144714135%,0.06611798102745811%,0.07071305306797643%,0.07224474374814921%,0.07505284332846597%,0.07862678824886911%,0.08015847892904188%,0.08271129672932984%,0.08730636876984815%,0.0908803136902513%,0.09496482217071203%,0.09853876709111518%,0.10032573955131674%,0.10211271201151831%,0.10415496625174868%,0.10492081159183507%,0.10645250227200784%,0.11002644719241099%,0.11232398321267013%,0.1146215192329293%,0.11768490059327487%,0.11972715483350523%,0.12227997263379317%,0.12406694509399475%
DC,2013,12,364551.0,0.0%,0.00027431004166769533%,0.0010972401666707813%,0.005211890791686212%,0.010423781583372423%,0.0175558426667325%,0.02413928366675719%,0.029625484500111095%,0.03758047570847426%,0.043066676541828164%,0.04443822675016664%,0.04800425729184668%,0.051844597875194416%,0.05486200833353907%,0.05595924850020985%,0.05979958908355758%,0.061445449333563745%,0.06309130958356993%,0.06501147987524379%,0.06830320037525614%,0.07241785100027157%,0.07570957150028391%,0.07845267191696087%,0.08147008237530551%,0.08476180287531786%,0.08915076354200098%,0.09052231375033945%,0.09216817400034563%,0.09628282462536106%,0.09902592504203803%,0.10149471541704728%,0.10259195558371804%,0.10533505600039501%,0.10999832670874582%,0.11383866729209356%,0.11493590745876434%
E1,2014,1,590177.0,0.0%,0.0%,0.0006777627728630564%,0.0027110510914522255%,0.005252661489688687%,0.008641475354003968%,0.013894136843692654%,0.018977357640165577%,0.02202729011804933%,0.02575498536879614%,0.028466036460248367%,0.030499324778837537%,0.03253261309742671%,0.03371869794993705%,0.03575198626852622%,0.03761583389389962%,0.03981856290570456%,0.0415129698378622%,0.043885139542882895%,0.045071224395393246%,0.04778227548684547%,0.048798919646140054%,0.05049332657829769%,0.05218773351045534%,0.05303493697653416%,0.05523766598833909%,0.0565931915340652%,0.05913480193230166%,0.06049032747802778%,0.0613375309441066%,0.062184734410185426%,0.06303193787626424%,0.06455690411520612%,0.06540410758128494%,0.06608187035414799%,0.06692907382022681%
