SN,year,month,shipping,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
D4,2013,4,4326.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
D5,2013,5,49675.0,0.0,0.0,1.0,0.0,4.0,0.0,4.0,3.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0
D6,2013,6,52463.0,0.0,0.0,1.0,4.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,3.0,0.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0
D7,2013,7,64824.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0
D8,2013,8,122647.0,0.0,0.0,0.0,3.0,4.0,3.0,3.0,7.0,5.0,7.0,10.0,6.0,1.0,2.0,6.0,3.0,3.0,3.0,1.0,0.0,5.0,2.0,7.0,4.0,6.0,17.0,4.0,4.0,1.0,5.0,1.0,5.0,6.0,3.0,7.0,4.0
D9,2013,9,236199.0,0.0,2.0,5.0,5.0,6.0,8.0,15.0,8.0,18.0,10.0,12.0,10.0,6.0,13.0,5.0,8.0,12.0,3.0,1.0,1.0,5.0,2.0,3.0,3.0,10.0,9.0,11.0,9.0,16.0,1.0,5.0,5.0,3.0,2.0,4.0,3.0
DA,2013,10,297371.0,0.0,1.0,8.0,10.0,9.0,4.0,13.0,14.0,10.0,10.0,7.0,12.0,10.0,10.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,7.0,0.0,5.0,9.0,4.0,10.0,4.0,3.0,3.0,3.0,0.0,4.0,1.0,6.0
DB,2013,11,391724.0,0.0,2.0,7.0,9.0,15.0,45.0,39.0,28.0,32.0,23.0,20.0,17.0,11.0,11.0,18.0,6.0,11.0,14.0,6.0,10.0,18.0,14.0,16.0,14.0,7.0,7.0,8.0,3.0,6.0,14.0,9.0,9.0,12.0,8.0,10.0,7.0
DC,2013,12,364551.0,0.0,1.0,3.0,15.0,19.0,26.0,24.0,20.0,29.0,20.0,5.0,13.0,14.0,11.0,4.0,14.0,6.0,6.0,7.0,12.0,15.0,12.0,10.0,11.0,12.0,16.0,5.0,6.0,15.0,10.0,9.0,4.0,10.0,17.0,14.0,4.0
E1,2014,1,590177.0,0.0,0.0,4.0,12.0,15.0,20.0,31.0,30.0,18.0,22.0,16.0,12.0,12.0,7.0,12.0,11.0,13.0,10.0,14.0,7.0,16.0,6.0,10.0,10.0,5.0,13.0,8.0,15.0,8.0,5.0,5.0,5.0,9.0,5.0,4.0,5.0
E2,2014,2,679025.0,0.0,4.0,5.0,17.0,27.0,37.0,33.0,25.0,17.0,12.0,13.0,10.0,5.0,10.0,7.0,10.0,17.0,7.0,14.0,11.0,15.0,10.0,6.0,16.0,3.0,9.0,12.0,14.0,3.0,9.0,6.0,14.0,13.0,9.0,6.0,2.0
E3,2014,3,702231.0,0.0,9.0,18.0,28.0,67.0,65.0,54.0,39.0,20.0,21.0,15.0,10.0,15.0,23.0,16.0,41.0,25.0,22.0,23.0,20.0,14.0,17.0,15.0,8.0,19.0,16.0,15.0,15.0,6.0,17.0,16.0,11.0,12.0,11.0,4.0,11.0
E4,2014,4,611000.0,0.0,3.0,19.0,27.0,44.0,20.0,27.0,12.0,16.0,10.0,2.0,7.0,8.0,6.0,33.0,16.0,12.0,21.0,9.0,13.0,9.0,3.0,4.0,7.0,6.0,14.0,7.0,3.0,6.0,8.0,4.0,5.0,7.0,2.0,3.0,4.0
E5,2014,5,567025.0,0.0,0.0,4.0,13.0,16.0,12.0,16.0,25.0,9.0,6.0,13.0,15.0,13.0,20.0,8.0,9.0,7.0,7.0,9.0,4.0,5.0,9.0,5.0,4.0,5.0,3.0,2.0,4.0,5.0,1.0,3.0,4.0,2.0,2.0,2.0,2.0
E6,2014,6,650884.0,0.0,0.0,10.0,5.0,10.0,6.0,3.0,9.0,3.0,9.0,7.0,4.0,5.0,8.0,6.0,3.0,4.0,5.0,3.0,9.0,1.0,2.0,8.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,1.0,2.0,0.0,0.0,3.0,2.0
E7,2014,7,656449.0,0.0,8.0,14.0,21.0,14.0,13.0,15.0,9.0,10.0,4.0,2.0,16.0,10.0,8.0,8.0,11.0,6.0,5.0,3.0,4.0,3.0,5.0,7.0,6.0,1.0,4.0,3.0,6.0,3.0,9.0,4.0,1.0,6.0,4.0,3.0,3.0
E8,2014,8,616126.0,0.0,0.0,10.0,12.0,14.0,13.0,6.0,11.0,15.0,11.0,14.0,14.0,13.0,21.0,15.0,12.0,4.0,3.0,1.0,4.0,3.0,5.0,10.0,5.0,12.0,5.0,1.0,4.0,5.0,5.0,5.0,4.0,8.0,5.0,5.0,6.0
E9,2014,9,777693.0,0.0,3.0,3.0,11.0,11.0,14.0,5.0,26.0,7.0,11.0,11.0,4.0,15.0,9.0,12.0,3.0,4.0,11.0,4.0,8.0,5.0,3.0,4.0,6.0,4.0,6.0,3.0,2.0,3.0,3.0,7.0,3.0,5.0,2.0,4.0,6.0
EA,2014,10,578068.0,0.0,0.0,2.0,13.0,5.0,5.0,28.0,7.0,17.0,12.0,12.0,21.0,6.0,10.0,8.0,12.0,4.0,5.0,6.0,9.0,4.0,3.0,3.0,6.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,4.0,6.0,6.0,4.0
EB,2014,11,547013.0,0.0,1.0,5.0,1.0,10.0,7.0,6.0,10.0,12.0,14.0,5.0,11.0,6.0,2.0,10.0,5.0,7.0,4.0,5.0,4.0,3.0,3.0,7.0,4.0,3.0,2.0,2.0,3.0,7.0,2.0,3.0,2.0,2.0,5.0,5.0,2.0
EC,2014,12,431467.0,0.0,9.0,5.0,5.0,4.0,5.0,8.0,9.0,5.0,11.0,9.0,6.0,6.0,6.0,7.0,7.0,9.0,2.0,4.0,3.0,6.0,6.0,0.0,2.0,4.0,3.0,2.0,3.0,3.0,6.0,5.0,8.0,5.0,0.0,2.0,4.0
F1,2015,1,505436.0,0.0,0.0,8.0,12.0,6.0,37.0,7.0,11.0,18.0,11.0,4.0,7.0,11.0,12.0,8.0,14.0,6.0,7.0,5.0,7.0,5.0,4.0,5.0,4.0,4.0,6.0,8.0,11.0,9.0,3.0,4.0,14.0,8.0,8.0,3.0,3.0
F2,2015,2,412135.0,0.0,2.0,5.0,8.0,6.0,10.0,7.0,14.0,11.0,6.0,9.0,9.0,8.0,5.0,10.0,8.0,1.0,6.0,3.0,4.0,0.0,3.0,3.0,0.0,2.0,1.0,2.0,1.0,4.0,2.0,3.0,8.0,2.0,4.0,1.0,6.0
F3,2015,3,559635.0,0.0,0.0,9.0,6.0,9.0,5.0,8.0,14.0,8.0,6.0,5.0,5.0,5.0,3.0,7.0,8.0,2.0,3.0,2.0,1.0,2.0,1.0,0.0,2.0,7.0,3.0,0.0,2.0,6.0,3.0,0.0,2.0,5.0,5.0,4.0,0.0
F4,2015,4,396208.0,0.0,2.0,12.0,12.0,12.0,25.0,12.0,14.0,7.0,3.0,7.0,5.0,4.0,3.0,6.0,6.0,2.0,3.0,8.0,7.0,2.0,1.0,1.0,5.0,3.0,5.0,3.0,5.0,2.0,7.0,3.0,0.0,2.0,5.0,0.0,2.0
F5,2015,5,415388.0,0.0,0.0,11.0,15.0,15.0,9.0,11.0,7.0,8.0,5.0,5.0,7.0,8.0,3.0,6.0,4.0,7.0,5.0,6.0,3.0,1.0,1.0,5.0,3.0,5.0,5.0,0.0,4.0,4.0,5.0,3.0,3.0,1.0,1.0,3.0,4.0
F6,2015,6,549132.0,0.0,0.0,13.0,5.0,10.0,3.0,4.0,5.0,2.0,4.0,0.0,6.0,5.0,7.0,4.0,6.0,1.0,3.0,3.0,0.0,3.0,3.0,2.0,4.0,5.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,0.0,1.0
F7,2015,7,417356.0,0.0,1.0,5.0,2.0,12.0,8.0,4.0,5.0,5.0,8.0,5.0,6.0,10.0,4.0,4.0,5.0,3.0,5.0,3.0,4.0,7.0,2.0,8.0,6.0,3.0,3.0,3.0,4.0,3.0,0.0,1.0,2.0,5.0,1.0,1.0,1.0
