SN,year,month,shipping,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
D4,2013,4,46.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2.1739130434782608%,2.1739130434782608%,2.1739130434782608%,2.1739130434782608%,2.1739130434782608%,2.1739130434782608%,2.1739130434782608%,2.1739130434782608%,2.1739130434782608%,2.1739130434782608%,2.1739130434782608%,2.1739130434782608%,2.1739130434782608%,2.1739130434782608%,2.1739130434782608%,2.1739130434782608%,2.1739130434782608%,2.1739130434782608%,2.1739130434782608%,2.1739130434782608%,2.1739130434782608%
D5,2013,5,42619.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.004692742673455501%,0.007039114010183252%,0.009385485346911002%,0.014078228020366504%,0.021117342030549754%,0.030502827377460757%,0.03284919871418851%,0.03284919871418851%,0.03519557005091626%,0.03988831272437176%,0.04458105539782726%,0.04692742673455501%,0.051620169408010515%,0.053966540744738264%,0.056312912081466014%,0.058659283418193764%,0.061005654754921514%,0.061005654754921514%,0.061005654754921514%,0.06335202609164926%,0.06335202609164926%,0.06335202609164926%,0.06569839742837702%,0.06569839742837702%,0.06569839742837702%,0.06569839742837702%,0.06569839742837702%,0.06569839742837702%,0.06569839742837702%,0.06804476876510476%,0.06804476876510476%
D6,2013,6,31186.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.006413134098634002%,0.009619701147951003%,0.025652536394536008%,0.028859103443853007%,0.032065670493170016%,0.038478804591804014%,0.041685371641121016%,0.04489193869043802%,0.048098505739755014%,0.048098505739755014%,0.054511639838389025%,0.054511639838389025%,0.057718206887706014%,0.06413134098634003%,0.06733790803565702%,0.06733790803565702%,0.06733790803565702%,0.06733790803565702%,0.06733790803565702%,0.06733790803565702%,0.07054447508497402%,0.07375104213429103%,0.07695760918360803%,0.07695760918360803%,0.07695760918360803%,0.08016417623292503%,0.08016417623292503%,0.08016417623292503%,0.08337074328224203%,0.08337074328224203%,0.08337074328224203%
D7,2013,7,27514.0,0.0%,0.0%,0.0036345133386639526%,0.0036345133386639526%,0.0036345133386639526%,0.010903540015991859%,0.010903540015991859%,0.010903540015991859%,0.01453805335465581%,0.01453805335465581%,0.018172566693319764%,0.018172566693319764%,0.018172566693319764%,0.025441593370647667%,0.025441593370647667%,0.02907610670931162%,0.02907610670931162%,0.03634513338663953%,0.03634513338663953%,0.03634513338663953%,0.03634513338663953%,0.039979646725303485%,0.039979646725303485%,0.039979646725303485%,0.043614160063967435%,0.043614160063967435%,0.043614160063967435%,0.043614160063967435%,0.043614160063967435%,0.050883186741295335%,0.050883186741295335%,0.05451770007995929%,0.05451770007995929%,0.05451770007995929%,0.05451770007995929%,0.05815221341862324%
D8,2013,8,35808.0,0.0%,0.0027926720285969616%,0.0027926720285969616%,0.005585344057193923%,0.005585344057193923%,0.005585344057193923%,0.008378016085790885%,0.008378016085790885%,0.008378016085790885%,0.008378016085790885%,0.008378016085790885%,0.011170688114387846%,0.011170688114387846%,0.013963360142984807%,0.01675603217158177%,0.01954870420017873%,0.022341376228775692%,0.022341376228775692%,0.022341376228775692%,0.025134048257372654%,0.025134048257372654%,0.027926720285969615%,0.027926720285969615%,0.027926720285969615%,0.027926720285969615%,0.027926720285969615%,0.03071939231456658%,0.03071939231456658%,0.03071939231456658%,0.03071939231456658%,0.03071939231456658%,0.03071939231456658%,0.03351206434316354%,0.03351206434316354%,0.03351206434316354%,0.03351206434316354%
D9,2013,9,46486.0,0.0%,0.0%,0.002151185303102009%,0.002151185303102009%,0.006453555909306028%,0.006453555909306028%,0.006453555909306028%,0.006453555909306028%,0.012907111818612056%,0.012907111818612056%,0.012907111818612056%,0.015058297121714064%,0.015058297121714064%,0.015058297121714064%,0.017209482424816073%,0.017209482424816073%,0.01936066772791808%,0.01936066772791808%,0.01936066772791808%,0.01936066772791808%,0.01936066772791808%,0.01936066772791808%,0.01936066772791808%,0.01936066772791808%,0.021511853031020094%,0.023663038334122102%,0.023663038334122102%,0.023663038334122102%,0.02581422363722411%,0.02581422363722411%,0.03011659424342813%,0.03011659424342813%,0.03011659424342813%,0.03011659424342813%,0.03011659424342813%,0.03011659424342813%
DA,2013,10,60730.0,0.0%,0.0%,0.0%,0.0016466326362588506%,0.003293265272517701%,0.004939897908776552%,0.008233163181294254%,0.011526428453811955%,0.013173061090070805%,0.014819693726329656%,0.014819693726329656%,0.014819693726329656%,0.016466326362588508%,0.018112958998847357%,0.019759591635106207%,0.019759591635106207%,0.019759591635106207%,0.019759591635106207%,0.019759591635106207%,0.019759591635106207%,0.021406224271365057%,0.02305285690762391%,0.024699489543882756%,0.02634612218014161%,0.02634612218014161%,0.02634612218014161%,0.02634612218014161%,0.02634612218014161%,0.02634612218014161%,0.02634612218014161%,0.02799275481640046%,0.02799275481640046%,0.02799275481640046%,0.02799275481640046%,0.029639387452659312%,0.029639387452659312%
DB,2013,11,59987.0,0.0%,0.0%,0.0033340557120709485%,0.005001083568106423%,0.008335139280177371%,0.010002167136212846%,0.010002167136212846%,0.01166919499224832%,0.01500325070431927%,0.01500325070431927%,0.01500325070431927%,0.01500325070431927%,0.016670278560354742%,0.016670278560354742%,0.016670278560354742%,0.02000433427242569%,0.02000433427242569%,0.02000433427242569%,0.02000433427242569%,0.02167136212846117%,0.02167136212846117%,0.02167136212846117%,0.02167136212846117%,0.02333838998449664%,0.02333838998449664%,0.026672445696567588%,0.026672445696567588%,0.026672445696567588%,0.026672445696567588%,0.026672445696567588%,0.026672445696567588%,0.026672445696567588%,0.026672445696567588%,0.03000650140863854%,0.033340557120709484%,0.033340557120709484%
DC,2013,12,51336.0,0.0%,0.0%,0.0019479507558048932%,0.0038959015116097864%,0.009739753779024465%,0.01753155680224404%,0.01947950755804893%,0.021427458313853825%,0.027271310581268506%,0.03116721209287829%,0.03506311360448808%,0.03506311360448808%,0.03506311360448808%,0.03895901511609786%,0.04090696587190276%,0.04090696587190276%,0.04090696587190276%,0.044802867383512544%,0.04675081813931744%,0.04675081813931744%,0.048698768895122334%,0.048698768895122334%,0.048698768895122334%,0.05064671965092722%,0.05064671965092722%,0.05064671965092722%,0.05064671965092722%,0.05064671965092722%,0.052594670406732116%,0.052594670406732116%,0.052594670406732116%,0.052594670406732116%,0.052594670406732116%,0.052594670406732116%,0.052594670406732116%,0.052594670406732116%
E1,2014,1,74618.0,0.0%,0.0%,0.0013401592109142566%,0.006700796054571283%,0.010721273687314053%,0.01206143289822831%,0.01608191053097108%,0.01876222895279959%,0.021442547374628106%,0.02278270658554236%,0.025463025007370875%,0.025463025007370875%,0.02680318421828513%,0.02814334342919939%,0.029483502640113644%,0.029483502640113644%,0.0308236618510279%,0.03216382106194216%,0.03216382106194216%,0.033503980272856414%,0.03484413948377067%,0.03484413948377067%,0.03618429869468493%,0.03618429869468493%,0.03752445790559918%,0.03752445790559918%,0.03752445790559918%,0.03752445790559918%,0.03752445790559918%,0.03752445790559918%,0.03752445790559918%,0.03886461711651344%,0.0402047763274277%,0.0402047763274277%,0.0402047763274277%,0.0402047763274277%
