SN,year,month,shipping,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
F4,2015,4,762.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.13123359580052493%,0.13123359580052493%,0.13123359580052493%,0.13123359580052493%,0.13123359580052493%,0.13123359580052493%,0.13123359580052493%,0.13123359580052493%,0.13123359580052493%,0.13123359580052493%,0.13123359580052493%,0.13123359580052493%,0.13123359580052493%,0.13123359580052493%,0.13123359580052493%,0.13123359580052493%,0.13123359580052493%,0.13123359580052493%,0.13123359580052493%,0.13123359580052493%
F5,2015,5,2078.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.04812319538017325%,0.04812319538017325%,0.0962463907603465%,0.0962463907603465%,0.0962463907603465%,0.0962463907603465%,0.0962463907603465%,0.0962463907603465%,0.0962463907603465%,0.0962463907603465%,0.0962463907603465%,0.0962463907603465%,0.0962463907603465%,0.0962463907603465%,0.0962463907603465%,0.0962463907603465%,0.0962463907603465%,0.0962463907603465%,0.0962463907603465%,0.0962463907603465%,0.14436958614051973%,0.14436958614051973%,0.14436958614051973%,0.14436958614051973%
F6,2015,6,1122.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.08912655971479501%,0.08912655971479501%,0.08912655971479501%,0.08912655971479501%,0.08912655971479501%,0.08912655971479501%,0.08912655971479501%,0.08912655971479501%,0.08912655971479501%,0.08912655971479501%,0.08912655971479501%,0.08912655971479501%,0.08912655971479501%,0.08912655971479501%,0.08912655971479501%,0.08912655971479501%,0.08912655971479501%,0.08912655971479501%,0.08912655971479501%,0.08912655971479501%,0.08912655971479501%,0.08912655971479501%
F7,2015,7,15935.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.00627549419516787%,0.01255098839033574%,0.01255098839033574%,0.01255098839033574%,0.01255098839033574%,0.01255098839033574%,0.01255098839033574%,0.01255098839033574%,0.01255098839033574%,0.01255098839033574%,0.01255098839033574%,0.01255098839033574%,0.01255098839033574%,0.01255098839033574%,0.018826482585503606%,0.02510197678067148%,0.02510197678067148%,0.02510197678067148%,0.02510197678067148%,0.02510197678067148%,0.02510197678067148%,0.031377470975839344%,0.031377470975839344%,0.031377470975839344%,0.031377470975839344%,0.031377470975839344%,0.031377470975839344%,0.031377470975839344%
F8,2015,8,50911.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0019642120563336017%,0.013749484394335213%,0.015713696450668814%,0.01767790850700242%,0.02160633261966962%,0.02160633261966962%,0.027498968788670426%,0.033391604957671225%,0.037320029070338434%,0.037320029070338434%,0.03928424112667203%,0.03928424112667203%,0.041248453183005636%,0.04321266523933924%,0.04321266523933924%,0.04321266523933924%,0.04321266523933924%,0.049105301408340046%,0.05303372552100725%,0.05303372552100725%,0.05303372552100725%,0.05696214963367445%,0.05696214963367445%,0.058926361690008054%,0.058926361690008054%,0.058926361690008054%,0.058926361690008054%,0.058926361690008054%,0.058926361690008054%,
F9,2015,9,71513.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0013983471536643686%,0.004195041460993106%,0.004195041460993106%,0.004195041460993106%,0.005593388614657475%,0.026568595919623007%,0.027966943073287377%,0.033560331687944846%,0.03635702599527359%,0.040552067456266695%,0.0447471089172598%,0.046145456070924164%,0.046145456070924164%,0.046145456070924164%,0.05034049753191727%,0.05034049753191727%,0.05034049753191727%,0.05313719183924601%,0.05453553899291039%,0.055933886146574754%,0.055933886146574754%,0.05733223330023912%,0.060128927607567856%,0.06152727476123222%,0.06292562191489659%,0.06292562191489659%,0.06851901052955406%,0.06851901052955406%,0.06991735768321843%,,
FA,2015,10,74107.0,0.0%,0.0%,0.0%,0.0026988003832296545%,0.0026988003832296545%,0.005397600766459309%,0.009445801341303791%,0.010795201532918618%,0.021590403065837236%,0.07286761034720067%,0.07961461130527481%,0.08636161226334894%,0.08636161226334894%,0.09040981283819342%,0.09175921302980825%,0.09310861322142308%,0.09445801341303792%,0.0998556141794972%,0.10255441456272688%,0.10255441456272688%,0.10255441456272688%,0.10255441456272688%,0.10525321494595653%,0.10660261513757135%,0.10795201532918616%,0.11065081571241583%,0.11065081571241583%,0.11334961609564549%,0.11334961609564549%,0.11604841647887515%,0.11739781667048997%,0.11739781667048997%,0.11739781667048997%,,,
FB,2015,11,115995.0,0.0%,0.0%,0.0%,0.0%,0.00086210612526402%,0.00086210612526402%,0.0043105306263201%,0.00517263675158412%,0.00603474287684814%,0.0077589551273761805%,0.00948316737790422%,0.01034527350316824%,0.01379369800422432%,0.015517910254752361%,0.015517910254752361%,0.0172421225052804%,0.0172421225052804%,0.0172421225052804%,0.01810422863054442%,0.01982844088107246%,0.0215526531316005%,0.0215526531316005%,0.025863183757920603%,0.025863183757920603%,0.025863183757920603%,0.02672528988318462%,0.028449502133712664%,0.028449502133712664%,0.028449502133712664%,0.02931160825897668%,0.02931160825897668%,0.02931160825897668%,,,,
FC,2015,12,110634.0,0.0%,0.0%,0.0%,0.0009038812661568776%,0.0009038812661568776%,0.0018077625323137552%,0.002711643798470633%,0.002711643798470633%,0.0063271688630981435%,0.007231050129255021%,0.007231050129255021%,0.0081349313954119%,0.009942693927725654%,0.014462100258510042%,0.014462100258510042%,0.014462100258510042%,0.015365981524666918%,0.0162698627908238%,0.0162698627908238%,0.017173744056980675%,0.017173744056980675%,0.017173744056980675%,0.017173744056980675%,0.017173744056980675%,0.01807762532313755%,0.01898150658929443%,0.019885387855451308%,0.019885387855451308%,0.021693150387765064%,0.021693150387765064%,0.021693150387765064%,,,,,
G1,2016,1,161924.0,0.0%,0.0%,0.0%,0.0%,0.0024702947061584447%,0.005558163088856501%,0.005558163088856501%,0.009263605148094167%,0.012351473530792224%,0.013586620883871445%,0.016674489266569503%,0.018527210296188333%,0.019144783972727945%,0.019762357649267558%,0.022850226031965612%,0.024085373385044836%,0.02470294706158445%,0.02532052073812406%,0.02717324176774289%,0.02717324176774289%,0.028408389120822112%,0.030878683826980557%,0.030878683826980557%,0.03211383118005978%,0.033348978533139007%,0.03396655220967862%,0.03458412588621823%,0.03458412588621823%,0.03458412588621823%,0.03458412588621823%,,,,,,
