SN,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01
F4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
F5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,
F6,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
F7,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,1.0,2.0,0.0,3.0,3.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
F9,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,15.0,1.0,4.0,2.0,3.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,4.0,0.0,1.0
FA,,,,,,,0.0,0.0,0.0,2.0,0.0,2.0,3.0,1.0,8.0,38.0,5.0,5.0,0.0,3.0,1.0,1.0,1.0,4.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0
FB,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,5.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0
FC,,,,,,,,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,1.0,2.0,5.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0
G1,,,,,,,,,,0.0,0.0,0.0,0.0,4.0,5.0,0.0,6.0,5.0,2.0,5.0,3.0,1.0,1.0,5.0,2.0,1.0,1.0,3.0,0.0,2.0,4.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0
G2,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,6.0,4.0,2.0,4.0,0.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
G3,,,,,,,,,,,,0.0,1.0,1.0,1.0,6.0,5.0,11.0,7.0,4.0,1.0,1.0,5.0,0.0,0.0,0.0,6.0,1.0,2.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
G4,,,,,,,,,,,,,0.0,0.0,3.0,2.0,4.0,2.0,3.0,0.0,3.0,1.0,4.0,3.0,4.0,4.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0
G5,,,,,,,,,,,,,,0.0,0.0,1.0,8.0,14.0,8.0,5.0,4.0,0.0,2.0,5.0,3.0,3.0,3.0,1.0,3.0,5.0,5.0,9.0,2.0,6.0,4.0,0.0,0.0,4.0,0.0
G6,,,,,,,,,,,,,,,0.0,0.0,3.0,2.0,1.0,4.0,3.0,1.0,2.0,6.0,3.0,6.0,4.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0
G7,,,,,,,,,,,,,,,,0.0,0.0,4.0,1.0,5.0,8.0,0.0,3.0,3.0,7.0,7.0,5.0,7.0,9.0,9.0,3.0,2.0,3.0,3.0,1.0,2.0,0.0,1.0,1.0
G8,,,,,,,,,,,,,,,,,0.0,0.0,2.0,3.0,5.0,5.0,1.0,4.0,4.0,6.0,6.0,3.0,8.0,10.0,6.0,7.0,2.0,2.0,1.0,3.0,3.0,0.0,0.0
G9,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,2.0,3.0,4.0,6.0,4.0,5.0,7.0,4.0,2.0,3.0,3.0,1.0,2.0,5.0,0.0,0.0,1.0,0.0,1.0
GA,,,,,,,,,,,,,,,,,,,0.0,2.0,2.0,0.0,6.0,5.0,2.0,6.0,4.0,4.0,11.0,6.0,1.0,4.0,2.0,5.0,3.0,1.0,2.0,3.0,0.0
GB,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,3.0,3.0,6.0,2.0,8.0,13.0,10.0,7.0,4.0,5.0,3.0,4.0,2.0,4.0,2.0,1.0,1.0
GC,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,2.0,2.0,10.0,9.0,12.0,7.0,7.0,7.0,1.0,4.0,4.0,3.0,1.0,3.0,0.0,1.0
H1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,0.0,5.0,2.0,4.0,3.0,12.0,4.0,5.0,3.0,1.0,1.0,2.0,2.0,3.0,2.0
H2,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,3.0,4.0,13.0,6.0,4.0,5.0,2.0,5.0,3.0,1.0,2.0,4.0,1.0,0.0
H3,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,2.0,8.0,11.0,16.0,9.0,11.0,5.0,14.0,9.0,2.0,1.0,4.0,3.0,0.0
H4,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,5.0,5.0,3.0,7.0,5.0,8.0,8.0,3.0,4.0,4.0,2.0,3.0
H5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,7.0,3.0,3.0,8.0,5.0,4.0,5.0,3.0,7.0,4.0,3.0,0.0
H6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,4.0,3.0,4.0,2.0,3.0,3.0,5.0,3.0,1.0,2.0
H7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,2.0,0.0,6.0,8.0,9.0,0.0,4.0,6.0,2.0,0.0
H8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,7.0,9.0,6.0,8.0,6.0,5.0,3.0,1.0,7.0
H9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,4.0,4.0,8.0,4.0,5.0,5.0,3.0,6.0
HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,3.0,1.0,2.0,8.0,6.0,4.0,4.0
