SN,year,month,shipping,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
86,2008,6,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
87,2008,7,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
88,2008,8,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
89,2008,9,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
8A,2008,10,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
8B,2008,11,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
8C,2008,12,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
91,2009,1,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
92,2009,2,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
93,2009,3,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
94,2009,4,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
95,2009,5,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
96,2009,6,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
97,2009,7,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
98,2009,8,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
99,2009,9,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
9A,2009,10,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
9B,2009,11,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
9C,2009,12,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
A1,2010,1,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
A2,2010,2,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
A3,2010,3,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
A4,2010,4,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
A5,2010,5,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
A6,2010,6,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
A7,2010,7,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
A8,2010,8,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
A9,2010,9,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
AA,2010,10,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
AB,2010,11,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
AC,2010,12,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
B1,2011,1,339239.0,0.0%,0.00235821942642208%,0.01002243256229384%,0.014738871415138%,0.02417174912082632%,0.03272029454160636%,0.03950017539256984%,0.04922783052656092%,0.05925026308885476%,0.07133613764926792%,0.08224290249647004%,0.08931756077573628%,0.09698177391160803%,0.10641465161729635%,0.11702663903619573%,0.12410129731546198%,0.13294462016454478%,0.13913494615890273%,0.15210515300422417%,0.16448580499294008%,0.1777507892665643%,0.18629933468734433%,0.1954374349647299%,0.20221731581569335%,0.20545986752702372%,0.2098815289515651%,0.2160718549459231%,0.22019873894216171%,0.22373606808179483%,0.22668384236482242%,0.23198983607427212%,0.23700105235541905%,0.243191378349777%,0.24967648177243773%,0.2594041369064288%,0.26353102090266745%
B2,2011,2,198939.0,0.0%,0.003015999879360005%,0.005026666465600008%,0.011058666224320017%,0.02312266574176004%,0.03367866531952006%,0.04473733154384007%,0.05328266453536009%,0.05529333112160009%,0.0588119976475201%,0.0643413307596801%,0.06635199734592011%,0.06886533057872012%,0.07137866381152012%,0.07238399710464012%,0.07690799692368012%,0.08243733003584014%,0.08645866320832014%,0.09047999638080015%,0.09701466278608015%,0.09902532937232016%,0.10153866260512016%,0.10555999577760017%,0.10757066236384018%,0.10907866230352019%,0.11008399559664017%,0.11159199553632017%,0.11611599535536019%,0.11812666194160018%,0.1211426618209602%,0.12516399499344022%,0.12717466157968021%,0.1301906614590402%,0.1311959947521602%,0.1342119946315202%,0.1342119946315202%
B3,2011,3,367909.0,0.00027180634341644267%,0.006795158585411067%,0.018754637695734544%,0.03098592314947446%,0.04403262763346371%,0.06197184629894892%,0.07365951906585597%,0.082900934742015%,0.08969609332742608%,0.09730667094308647%,0.099481121690418%,0.10763531199291128%,0.11606130863882101%,0.12095382282031697%,0.13101065752672536%,0.1413392985765502%,0.15465780940395588%,0.1701507709786931%,0.18183844374560013%,0.19080805307834273%,0.19488514822958938%,0.20303933853208267%,0.20684462733991288%,0.21064991614774303%,0.21499881764240614%,0.22016313816731856%,0.22478384600539808%,0.23021997287372692%,0.2364715187723051%,0.24353848370113262%,0.2516926740036259%,0.25685699452853833%,0.2658266038612809%,0.2715345370730262%,0.27506801953744%,0.2777860829716044%
B4,2011,4,227880.0,0.0%,0.008337721607863788%,0.03027909426013691%,0.05485343163068281%,0.0890819729682289%,0.10356327891872916%,0.11892223977532033%,0.129015271195366%,0.14437423205195715%,0.1535896085659119%,0.1592943654555029%,0.17289801649991224%,0.18123573810777602%,0.20186062840091273%,0.21502545199227663%,0.23916096190977706%,0.2611023345620502%,0.2777777777777778%,0.2905037739160962%,0.3010356327891873%,0.31420045638055116%,0.32473231525364227%,0.32736527997191506%,0.33438651922064244%,0.34096893101632436%,0.34842899771809727%,0.35852202913814285%,0.37563629980691593%,0.3923117430226435%,0.4067930489731438%,0.4142531156749166%,0.42873442162541686%,0.4401439354045989%,0.44584869229418994%,0.4576970335264174%,0.46340179041600843%
B5,2011,5,208715.0,0.0%,0.0067077114725822284%,0.034975924107035906%,0.06084852550128165%,0.07761780418273723%,0.09103322712790168%,0.10061567208873344%,0.10732338356131566%,0.1145102172819395%,0.12265529549864648%,0.13127949596339505%,0.1375080851879357%,0.1494861413889754%,0.16194331983805668%,0.17727523177538748%,0.19787748844117578%,0.22662482332367107%,0.24483146874925138%,0.2635172364228733%,0.2750161703758714%,0.2802865151043289%,0.2831612485925784%,0.28555685983278634%,0.28986896006516066%,0.2956184270416597%,0.3047217497544498%,0.31526243921136476%,0.3286778621565292%,0.3387394293654026%,0.3411350406056105%,0.35215485231056703%,0.36940325324006423%,0.3799439426969792%,0.3914428766499773%,0.3967132213784347%,0.40198356610689223%
B6,2011,6,223895.0,0.0%,0.007592844860313986%,0.01786551731838585%,0.03394448290493311%,0.04600370709484357%,0.05850956921771366%,0.07369525893834164%,0.07860827620089775%,0.09245405212264678%,0.10495991424551687%,0.10853301770919405%,0.11925232810022555%,0.12997163849125706%,0.1487304316755622%,0.16346948346323054%,0.18133500078161638%,0.1920543111726479%,0.20232698363071974%,0.21527948368654948%,0.2237656044127828%,0.22957189754125817%,0.23403827687085463%,0.24341767346300722%,0.24877732865852295%,0.2590500011165948%,0.26887603564170703%,0.2809352598316175%,0.2907612943567297%,0.29790750128408405%,0.31130663927287344%,0.32023939793206635%,0.3242591393287032%,0.3322986221219768%,0.34033810491525046%,0.34435784631188726%,0.34927086357444337%
B7,2011,7,190661.0,0.0%,0.007342875574973382%,0.012063295587456271%,0.018881680049931553%,0.026224555624904937%,0.02884701118739543%,0.03409192231237642%,0.039861324549855505%,0.048253182349825084%,0.052449111249809874%,0.06084096904977945%,0.06556138906226233%,0.07605121131222431%,0.08496756022469198%,0.09126145357466918%,0.09493289136215587%,0.09912882026214065%,0.11014313362460074%,0.11276558918709122%,0.11696151808707601%,0.12063295587456271%,0.12587786699954367%,0.1285003225620342%,0.13112277812452466%,0.13584319813700757%,0.14213709148698475%,0.15052894928695432%,0.15315140484944484%,0.1641657182119049%,0.1694106293368859%,0.1725575760118745%,0.17832697824935356%,0.18199841603684025%,0.18462087159933074%,0.18566985382432696%,0.18671883604932316%
B8,2011,8,83363.0,0.0%,0.0%,0.0%,0.0047982918081163105%,0.008397010664203544%,0.009596583616232621%,0.011995729520290776%,0.011995729520290776%,0.011995729520290776%,0.01679402132840709%,0.019193167232465242%,0.0215923131365234%,0.0215923131365234%,0.022791886088552475%,0.02399145904058155%,0.02399145904058155%,0.02519103199261063%,0.02519103199261063%,0.02639060494463971%,0.02998932380072694%,0.03358804265681418%,0.03718676151290141%,0.03958590741695956%,0.03958590741695956%,0.040785480368988644%,0.04558377217710495%,0.05038206398522126%,0.056379928745366646%,0.05997864760145388%,0.06357736645754111%,0.06597651236159928%,0.06837565826565742%,0.06837565826565742%,0.06837565826565742%,0.06837565826565742%,0.06837565826565742%
B9,2011,9,65898.0,0.0%,0.0%,0.004552490212146044%,0.016692464111202163%,0.03641992169716835%,0.06525235970742664%,0.10622477161674101%,0.11229475856626908%,0.14719718352605543%,0.18058211174845973%,0.209414549758718%,0.24128198124374034%,0.25949194209232446%,0.2701144192539986%,0.29742936052687485%,0.3520592430726274%,0.35812923002215546%,0.37633919087073964%,0.38999666150717777%,0.41124161583052593%,0.418829099517436%,0.4264165832043461%,0.43096907341649215%,0.4522140277398404%,0.4704239885884245%,0.48104646575009863%,0.5220188776594131%,0.5599562960939634%,0.5766487602051655%,0.6145861786397159%,0.634313636225682%,0.6464536101247382%,0.6585935840237944%,0.6631460742359404%,0.6661810677107044%,0.6692160611854685%
BA,2011,10,11570.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.017286084701815037%,0.02592912705272256%,0.034572169403630074%,0.05185825410544512%,0.05185825410544512%,0.06050129645635263%,0.06914433880726015%,0.06914433880726015%,0.06914433880726015%,0.08643042350907519%,0.11235955056179776%,0.11235955056179776%,0.11235955056179776%,0.11235955056179776%,0.12100259291270526%,0.12100259291270526%,0.12100259291270526%,0.12100259291270526%,0.12100259291270526%,0.12100259291270526%,0.12100259291270526%,0.12100259291270526%,0.12100259291270526%,0.12100259291270526%,0.12100259291270526%,0.12100259291270526%,0.12964563526361278%,0.12964563526361278%
BB,2011,11,2628.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0380517503805175%,0.0380517503805175%,0.0380517503805175%,0.0380517503805175%,0.076103500761035%,0.076103500761035%,0.076103500761035%,0.1141552511415525%,0.1141552511415525%,0.1141552511415525%,0.1141552511415525%,0.1141552511415525%,0.1141552511415525%,0.1141552511415525%
BC,2011,12,2198.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
C1,2012,1,33.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
C2,2012,2,106.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
C3,2012,3,8.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
C4,2012,4,4.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
C5,2012,5,80.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.25%,1.25%,1.25%,1.25%,1.25%
C6,2012,6,54.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
C7,2012,7,-15.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
C8,2012,8,11.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
C9,2012,9,44.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
CA,2012,10,70.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
CB,2012,11,15.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
CC,2012,12,-21.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
D1,2013,1,-14.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
D2,2013,2,1.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
