SN,year,month,shipping,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
86,2008,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,2008,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0
88,2008,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,11.0,6.0,12.0,12.0,11.0
89,2008,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,31.0,52.0,48.0,51.0,67.0,60.0,78.0
8A,2008,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,37.0,72.0,70.0,66.0,72.0,87.0,111.0,83.0
8B,2008,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,15.0,37.0,49.0,43.0,43.0,49.0,74.0,47.0,48.0
8C,2008,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,32.0,36.0,40.0,40.0,57.0,62.0,61.0,49.0,50.0,46.0
91,2009,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,11.0,22.0,13.0,15.0,17.0,16.0,21.0,18.0,16.0,20.0,17.0
92,2009,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,16.0,15.0,15.0,17.0,22.0,15.0,22.0,11.0,12.0,7.0,3.0
93,2009,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,16.0,18.0,13.0,19.0,27.0,41.0,37.0,27.0,16.0,33.0,21.0,5.0,9.0
94,2009,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,20.0,23.0,26.0,37.0,38.0,49.0,48.0,27.0,21.0,34.0,28.0,16.0,23.0,14.0
95,2009,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,18.0,35.0,32.0,23.0,49.0,39.0,50.0,38.0,29.0,38.0,23.0,18.0,18.0,20.0,16.0
96,2009,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,22.0,18.0,19.0,13.0,23.0,16.0,22.0,18.0,17.0,16.0,17.0,9.0,12.0,17.0,13.0,18.0
97,2009,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,10.0,7.0,13.0,14.0,29.0,27.0,10.0,9.0,14.0,19.0,6.0,8.0,5.0,3.0,13.0,16.0
98,2009,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,18.0,14.0,17.0,18.0,33.0,47.0,11.0,16.0,19.0,13.0,4.0,16.0,9.0,12.0,19.0,16.0,22.0
99,2009,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,12.0,11.0,26.0,18.0,25.0,17.0,26.0,24.0,13.0,15.0,15.0,5.0,20.0,11.0,6.0,15.0,19.0,20.0,13.0
9A,2009,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,7.0,6.0,11.0,6.0,22.0,24.0,27.0,17.0,13.0,8.0,13.0,10.0,10.0,9.0,11.0,12.0,19.0,13.0,15.0,16.0
9B,2009,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,11.0,10.0,11.0,21.0,25.0,31.0,30.0,12.0,6.0,16.0,9.0,6.0,13.0,8.0,8.0,21.0,16.0,11.0,27.0,15.0
9C,2009,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,10.0,9.0,17.0,16.0,36.0,33.0,52.0,30.0,32.0,23.0,16.0,12.0,22.0,12.0,13.0,28.0,26.0,19.0,17.0,28.0,16.0,16.0
A1,2010,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,15.0,25.0,20.0,28.0,43.0,57.0,67.0,55.0,33.0,28.0,30.0,6.0,19.0,24.0,14.0,23.0,32.0,27.0,47.0,27.0,13.0,9.0,15.0
A2,2010,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,12.0,12.0,23.0,23.0,26.0,40.0,34.0,28.0,33.0,25.0,12.0,22.0,9.0,9.0,10.0,19.0,9.0,17.0,15.0,9.0,8.0,9.0,18.0
A3,2010,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,27.0,42.0,40.0,50.0,91.0,90.0,126.0,94.0,78.0,73.0,65.0,64.0,63.0,48.0,42.0,78.0,54.0,59.0,46.0,54.0,30.0,32.0,33.0,32.0,19.0
A4,2010,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,16.0,11.0,21.0,32.0,25.0,25.0,38.0,16.0,12.0,20.0,35.0,17.0,18.0,18.0,12.0,28.0,13.0,18.0,28.0,19.0,21.0,10.0,27.0,16.0,6.0,14.0
A5,2010,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,16.0,16.0,22.0,24.0,15.0,38.0,26.0,19.0,19.0,11.0,13.0,17.0,14.0,14.0,22.0,17.0,20.0,21.0,17.0,10.0,19.0,14.0,17.0,3.0,6.0,6.0
A6,2010,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,11.0,12.0,12.0,30.0,31.0,41.0,58.0,34.0,27.0,28.0,36.0,14.0,17.0,18.0,12.0,33.0,20.0,26.0,21.0,25.0,10.0,19.0,19.0,6.0,6.0,12.0,9.0,8.0
A7,2010,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,11.0,13.0,19.0,37.0,46.0,75.0,91.0,85.0,47.0,40.0,28.0,7.0,26.0,25.0,21.0,34.0,38.0,47.0,49.0,30.0,24.0,19.0,20.0,21.0,11.0,25.0,7.0,17.0,9.0
A8,2010,8,0.0,0.0,0.0,0.0,0.0,0.0,22.0,25.0,25.0,25.0,56.0,89.0,118.0,147.0,116.0,68.0,67.0,38.0,19.0,41.0,43.0,32.0,58.0,68.0,88.0,94.0,70.0,45.0,40.0,26.0,21.0,7.0,34.0,26.0,33.0,25.0,43.0
A9,2010,9,0.0,0.0,0.0,0.0,0.0,20.0,12.0,15.0,22.0,22.0,30.0,36.0,53.0,43.0,34.0,51.0,47.0,30.0,24.0,16.0,17.0,29.0,23.0,28.0,24.0,26.0,25.0,20.0,8.0,11.0,9.0,19.0,23.0,24.0,18.0,33.0,14.0
AA,2010,10,0.0,0.0,0.0,0.0,25.0,15.0,20.0,19.0,38.0,26.0,43.0,68.0,58.0,42.0,23.0,30.0,18.0,22.0,23.0,23.0,40.0,23.0,47.0,41.0,30.0,24.0,19.0,23.0,17.0,6.0,19.0,14.0,9.0,18.0,27.0,23.0,29.0
AB,2010,11,0.0,0.0,0.0,19.0,15.0,34.0,17.0,28.0,39.0,37.0,50.0,31.0,33.0,27.0,19.0,16.0,29.0,36.0,21.0,26.0,19.0,46.0,36.0,26.0,15.0,14.0,24.0,14.0,11.0,17.0,16.0,17.0,9.0,20.0,26.0,20.0,14.0
AC,2010,12,0.0,0.0,4.0,10.0,23.0,26.0,49.0,43.0,38.0,50.0,38.0,42.0,37.0,36.0,37.0,40.0,52.0,26.0,43.0,35.0,59.0,36.0,39.0,23.0,25.0,35.0,13.0,28.0,32.0,19.0,9.0,11.0,27.0,35.0,48.0,29.0,50.0
B1,2011,1,339239.0,0.0,8.0,26.0,16.0,32.0,29.0,23.0,33.0,34.0,41.0,37.0,24.0,26.0,32.0,36.0,24.0,30.0,21.0,44.0,42.0,45.0,29.0,31.0,23.0,11.0,15.0,21.0,14.0,12.0,10.0,18.0,17.0,21.0,22.0,33.0,14.0
B2,2011,2,198939.0,0.0,6.0,4.0,12.0,24.0,21.0,22.0,17.0,4.0,7.0,11.0,4.0,5.0,5.0,2.0,9.0,11.0,8.0,8.0,13.0,4.0,5.0,8.0,4.0,3.0,2.0,3.0,9.0,4.0,6.0,8.0,4.0,6.0,2.0,6.0,0.0
B3,2011,3,367909.0,1.0,24.0,44.0,45.0,48.0,66.0,43.0,34.0,25.0,28.0,8.0,30.0,31.0,18.0,37.0,38.0,49.0,57.0,43.0,33.0,15.0,30.0,14.0,14.0,16.0,19.0,17.0,20.0,23.0,26.0,30.0,19.0,33.0,21.0,13.0,10.0
B4,2011,4,227880.0,0.0,19.0,50.0,56.0,78.0,33.0,35.0,23.0,35.0,21.0,13.0,31.0,19.0,47.0,30.0,55.0,50.0,38.0,29.0,24.0,30.0,24.0,6.0,16.0,15.0,17.0,23.0,39.0,38.0,33.0,17.0,33.0,26.0,13.0,27.0,13.0
B5,2011,5,208715.0,0.0,14.0,59.0,54.0,35.0,28.0,20.0,14.0,15.0,17.0,18.0,13.0,25.0,26.0,32.0,43.0,60.0,38.0,39.0,24.0,11.0,6.0,5.0,9.0,12.0,19.0,22.0,28.0,21.0,5.0,23.0,36.0,22.0,24.0,11.0,11.0
B6,2011,6,223895.0,0.0,17.0,23.0,36.0,27.0,28.0,34.0,11.0,31.0,28.0,8.0,24.0,24.0,42.0,33.0,40.0,24.0,23.0,29.0,19.0,13.0,10.0,21.0,12.0,23.0,22.0,27.0,22.0,16.0,30.0,20.0,9.0,18.0,18.0,9.0,11.0
B7,2011,7,190661.0,0.0,14.0,9.0,13.0,14.0,5.0,10.0,11.0,16.0,8.0,16.0,9.0,20.0,17.0,12.0,7.0,8.0,21.0,5.0,8.0,7.0,10.0,5.0,5.0,9.0,12.0,16.0,5.0,21.0,10.0,6.0,11.0,7.0,5.0,2.0,2.0
B8,2011,8,83363.0,0.0,0.0,0.0,4.0,3.0,1.0,2.0,0.0,0.0,4.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,3.0,3.0,2.0,0.0,1.0,4.0,4.0,5.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0
B9,2011,9,65898.0,0.0,0.0,3.0,8.0,13.0,19.0,27.0,4.0,23.0,22.0,19.0,21.0,12.0,7.0,18.0,36.0,4.0,12.0,9.0,14.0,5.0,5.0,3.0,14.0,12.0,7.0,27.0,25.0,11.0,25.0,13.0,8.0,8.0,3.0,2.0,2.0
BA,2011,10,11570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BB,2011,11,2628.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BC,2011,12,2198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1,2012,1,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2,2012,2,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3,2012,3,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C4,2012,4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C5,2012,5,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
C6,2012,6,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C7,2012,7,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C8,2012,8,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C9,2012,9,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA,2012,10,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CB,2012,11,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC,2012,12,-21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1,2013,1,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D2,2013,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D3,2013,3,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D4,2013,4,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D5,2013,5,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D6,2013,6,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D7,2013,7,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D8,2013,8,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D9,2013,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DA,2013,10,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DB,2013,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DC,2013,12,602.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E1,2014,1,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E2,2014,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E3,2014,3,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E4,2014,4,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E5,2014,5,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E6,2014,6,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E7,2014,7,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
