SN,year,month,shipping,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
B2,2011,2,1.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
B3,2011,3,4.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
B4,2011,4,15.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,6.666666666666667%,6.666666666666667%,6.666666666666667%,6.666666666666667%,6.666666666666667%,6.666666666666667%,6.666666666666667%,6.666666666666667%,6.666666666666667%,6.666666666666667%,6.666666666666667%,6.666666666666667%,6.666666666666667%,6.666666666666667%,6.666666666666667%,6.666666666666667%,6.666666666666667%,6.666666666666667%,6.666666666666667%,6.666666666666667%,6.666666666666667%,6.666666666666667%,6.666666666666667%
B5,2011,5,537.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.186219739292365%,0.186219739292365%,0.37243947858473%,0.37243947858473%,0.37243947858473%,0.37243947858473%,0.37243947858473%,0.37243947858473%,0.37243947858473%,0.37243947858473%,0.37243947858473%,0.37243947858473%,0.37243947858473%,0.37243947858473%,0.37243947858473%,0.37243947858473%,0.37243947858473%,0.37243947858473%,0.37243947858473%,0.37243947858473%,0.37243947858473%,0.37243947858473%,0.37243947858473%,0.37243947858473%,0.37243947858473%,0.37243947858473%,0.37243947858473%,0.37243947858473%,0.37243947858473%,0.37243947858473%
B6,2011,6,472.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.211864406779661%,0.423728813559322%,0.847457627118644%,1.059322033898305%,1.059322033898305%,1.2711864406779663%,1.2711864406779663%,1.4830508474576272%,1.4830508474576272%,1.4830508474576272%,1.4830508474576272%,1.4830508474576272%,1.4830508474576272%,1.4830508474576272%,1.4830508474576272%,1.4830508474576272%,1.4830508474576272%,1.4830508474576272%,1.4830508474576272%,1.4830508474576272%,1.4830508474576272%,1.4830508474576272%,1.4830508474576272%,1.4830508474576272%,1.4830508474576272%,1.4830508474576272%,1.4830508474576272%,1.4830508474576272%,1.4830508474576272%,1.4830508474576272%,1.4830508474576272%
B7,2011,7,1989.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.050276520864756154%,0.050276520864756154%,0.050276520864756154%,0.050276520864756154%,0.050276520864756154%,0.050276520864756154%,0.050276520864756154%,0.050276520864756154%,0.050276520864756154%,0.050276520864756154%,0.10055304172951231%,0.10055304172951231%,0.10055304172951231%,0.10055304172951231%,0.10055304172951231%,0.10055304172951231%,0.10055304172951231%,0.10055304172951231%,0.10055304172951231%,0.10055304172951231%,0.10055304172951231%,0.10055304172951231%,0.10055304172951231%,0.10055304172951231%,0.10055304172951231%
B8,2011,8,1672.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.05980861244019139%,0.05980861244019139%,0.05980861244019139%,0.11961722488038277%,0.11961722488038277%,0.11961722488038277%,0.11961722488038277%,0.11961722488038277%,0.11961722488038277%,0.11961722488038277%,0.11961722488038277%,0.11961722488038277%,0.11961722488038277%,0.11961722488038277%,0.11961722488038277%,0.11961722488038277%,0.11961722488038277%,0.11961722488038277%,0.11961722488038277%,0.11961722488038277%
B9,2011,9,1318.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.07587253414264036%,0.07587253414264036%,0.07587253414264036%,0.07587253414264036%,0.07587253414264036%,0.07587253414264036%,0.07587253414264036%,0.07587253414264036%,0.07587253414264036%,0.07587253414264036%,0.07587253414264036%,0.07587253414264036%,0.07587253414264036%,0.07587253414264036%,0.07587253414264036%,0.07587253414264036%,0.07587253414264036%,0.07587253414264036%,0.07587253414264036%,0.07587253414264036%,0.07587253414264036%,0.07587253414264036%,0.07587253414264036%,0.07587253414264036%,0.07587253414264036%
BA,2011,10,7547.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
BB,2011,11,1328.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.07530120481927711%,0.07530120481927711%,0.07530120481927711%,0.07530120481927711%,0.07530120481927711%,0.07530120481927711%,0.07530120481927711%,0.07530120481927711%,0.07530120481927711%,0.07530120481927711%
