SN,year,month,shipping,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
AA,2010,10,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
AB,2010,11,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
AC,2010,12,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
B1,2011,1,30678.0,0.0%,0.0%,0.0032596649064476173%,0.0032596649064476173%,0.0032596649064476173%,0.0032596649064476173%,0.0032596649064476173%,0.0032596649064476173%,0.0032596649064476173%,0.0032596649064476173%,0.009778994719342852%,0.009778994719342852%,0.009778994719342852%,0.009778994719342852%,0.009778994719342852%,0.009778994719342852%,0.009778994719342852%,0.009778994719342852%,0.009778994719342852%,0.009778994719342852%,0.009778994719342852%,0.009778994719342852%,0.009778994719342852%,0.009778994719342852%,0.009778994719342852%,0.009778994719342852%,0.009778994719342852%,0.009778994719342852%,0.009778994719342852%,0.009778994719342852%,0.009778994719342852%,0.009778994719342852%,0.009778994719342852%,0.009778994719342852%,0.009778994719342852%,0.009778994719342852%
B2,2011,2,2275.0,0.0%,0.04395604395604395%,0.0879120879120879%,0.0879120879120879%,0.0879120879120879%,0.13186813186813187%,0.21978021978021978%,0.26373626373626374%,0.3076923076923077%,0.3956043956043956%,0.3956043956043956%,0.43956043956043955%,0.4835164835164835%,0.4835164835164835%,0.5274725274725275%,0.6153846153846154%,0.6153846153846154%,0.6153846153846154%,0.6593406593406593%,0.6593406593406593%,0.6593406593406593%,0.6593406593406593%,0.6593406593406593%,0.6593406593406593%,0.6593406593406593%,0.6593406593406593%,0.7032967032967032%,0.7032967032967032%,0.7032967032967032%,0.7472527472527473%,0.7472527472527473%,0.7472527472527473%,0.7472527472527473%,0.7472527472527473%,0.7472527472527473%,0.7912087912087912%
B3,2011,3,55211.0,0.0%,0.00181123326873268%,0.012678632881128759%,0.012678632881128759%,0.012678632881128759%,0.01992356595605948%,0.02897973229972288%,0.02897973229972288%,0.030790965568455564%,0.0362246653746536%,0.03984713191211896%,0.04165836518085164%,0.04165836518085164%,0.045280831718317004%,0.045280831718317004%,0.045280831718317004%,0.048903298255782365%,0.048903298255782365%,0.048903298255782365%,0.048903298255782365%,0.054336998061980404%,0.054336998061980404%,0.054336998061980404%,0.05977069786817844%,0.05977069786817844%,0.05977069786817844%,0.06339316440564381%,0.06339316440564381%,0.06520439767437648%,0.06701563094310917%,0.06701563094310917%,0.06701563094310917%,0.07063809748057452%,0.07063809748057452%,0.0724493307493072%,0.0724493307493072%
B4,2011,4,80973.0,0.0%,0.0%,0.0%,0.001234979561088264%,0.002469959122176528%,0.004939918244353056%,0.006174897805441319%,0.008644856927617848%,0.011114816049794375%,0.013584775171970905%,0.014819754733059168%,0.014819754733059168%,0.014819754733059168%,0.014819754733059168%,0.016054734294147433%,0.017289713855235696%,0.020994652538500486%,0.023464611660677016%,0.025934570782853543%,0.02716955034394181%,0.032109468588294866%,0.03334444814938312%,0.035814407271559656%,0.03704938683264792%,0.04075432551591271%,0.04322428463808924%,0.04322428463808924%,0.04322428463808924%,0.0444592641991775%,0.0444592641991775%,0.04692922332135403%,0.048164202882442296%,0.048164202882442296%,0.048164202882442296%,0.048164202882442296%,0.05063416200461882%
B5,2011,5,60112.0,0.001663561352142667%,0.003327122704285334%,0.003327122704285334%,0.01663561352142667%,0.026616981634282673%,0.03160766569071067%,0.039925472451424006%,0.043252595155709346%,0.04824327921213734%,0.059888208677136005%,0.061551770029278675%,0.06654245408570668%,0.06820601543784935%,0.07319669949427735%,0.07486026084642002%,0.07818738355070536%,0.08151450625499068%,0.08816875166356136%,0.09149587436784669%,0.09981368112856003%,0.09981368112856003%,0.10314080383284537%,0.10813148788927336%,0.11312217194570137%,0.11811285600212935%,0.12143997870641468%,0.12476710141070002%,0.12975778546712802%,0.1364120308756987%,0.1364120308756987%,0.13807559222784135%,0.13807559222784135%,0.13807559222784135%,0.13973915357998404%,0.14805696034069737%,0.1513840830449827%
B6,2011,6,69903.0,0.0%,0.0%,0.0014305537673633462%,0.007152768836816731%,0.014305537673633462%,0.01573609144099681%,0.0185971989757235%,0.021458306510450196%,0.03004162911463027%,0.03147218288199362%,0.03147218288199362%,0.037194397951447%,0.037194397951447%,0.037194397951447%,0.03862495171881035%,0.04291661302090039%,0.04720827432299043%,0.054361043159807165%,0.055791596927170506%,0.06008325822926054%,0.06294436576398724%,0.07009713460080397%,0.07009713460080397%,0.07295824213553066%,0.07295824213553066%,0.07581934967025736%,0.07868045720498405%,0.07868045720498405%,0.08154156473971073%,0.08297211850707409%,0.08297211850707409%,0.08440267227443743%,0.08583322604180078%,0.08726377980916412%,0.08726377980916412%,0.08726377980916412%
B7,2011,7,63165.0,0.0%,0.0%,0.0%,0.003166310456740283%,0.006332620913480566%,0.006332620913480566%,0.006332620913480566%,0.006332620913480566%,0.00791577614185071%,0.009498931370220851%,0.012665241826961132%,0.014248397055331277%,0.01741470751207156%,0.01741470751207156%,0.018997862740441702%,0.018997862740441702%,0.020581017968811843%,0.022164173197181985%,0.022164173197181985%,0.023747328425552126%,0.026913638882292413%,0.030079949339032696%,0.030079949339032696%,0.03482941502414312%,0.03482941502414312%,0.03482941502414312%,0.03482941502414312%,0.03641257025251326%,0.03641257025251326%,0.03641257025251326%,0.03957888070925354%,0.03957888070925354%,0.03957888070925354%,0.03957888070925354%,0.03957888070925354%,0.03957888070925354%
