SN,year,month,shipping,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
E2,2014,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E3,2014,3,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E4,2014,4,3191.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
E5,2014,5,93300.0,0.0,0.0,8.0,2.0,4.0,2.0,4.0,8.0,3.0,2.0,2.0,3.0,0.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,0.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0
E6,2014,6,110472.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0
E7,2014,7,89758.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,5.0,3.0,0.0,2.0,2.0,6.0,0.0,4.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
E8,2014,8,91377.0,0.0,0.0,1.0,0.0,2.0,3.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0
E9,2014,9,118110.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0
EA,2014,10,139115.0,0.0,0.0,0.0,3.0,5.0,5.0,5.0,2.0,1.0,7.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0
EB,2014,11,115703.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,7.0,1.0,0.0,3.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EC,2014,12,122077.0,0.0,0.0,0.0,1.0,3.0,2.0,3.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,11.0,1.0,0.0,1.0,0.0,2.0,3.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
F1,2015,1,125431.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,6.0,4.0,0.0,1.0,12.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
F2,2015,2,95996.0,0.0,0.0,3.0,2.0,1.0,3.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,2015,3,127493.0,0.0,0.0,1.0,5.0,1.0,2.0,3.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
F4,2015,4,105957.0,0.0,0.0,1.0,2.0,6.0,3.0,5.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
F5,2015,5,105210.0,0.0,1.0,0.0,5.0,2.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F6,2015,6,127014.0,0.0,1.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
F7,2015,7,106745.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,2015,8,88752.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
F9,2015,9,72591.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,
FA,2015,10,54720.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
