SN,year,month,shipping,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
FA,2015,10,453.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
FB,2015,11,642.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
FC,2015,12,1860.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.10752688172043011%,0.10752688172043011%,0.10752688172043011%,0.10752688172043011%,0.10752688172043011%,0.10752688172043011%,0.10752688172043011%,0.10752688172043011%,0.10752688172043011%,0.10752688172043011%,,
G1,2016,1,3938.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.050787201625190445%,0.050787201625190445%,0.050787201625190445%,0.050787201625190445%,0.07618080243778569%,0.07618080243778569%,0.12696800406297612%,0.12696800406297612%,0.12696800406297612%,0.12696800406297612%,0.15236160487557138%,0.15236160487557138%,0.15236160487557138%,0.15236160487557138%,,,
G2,2016,2,4055.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.02466091245376079%,0.02466091245376079%,0.02466091245376079%,0.02466091245376079%,0.02466091245376079%,0.02466091245376079%,0.02466091245376079%,0.02466091245376079%,,,,
G3,2016,3,4550.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.021978021978021976%,0.021978021978021976%,0.021978021978021976%,0.021978021978021976%,0.021978021978021976%,0.021978021978021976%,0.021978021978021976%,0.021978021978021976%,0.021978021978021976%,,,,,
G4,2016,4,2615.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.03824091778202677%,0.03824091778202677%,0.03824091778202677%,0.03824091778202677%,0.03824091778202677%,0.03824091778202677%,0.03824091778202677%,0.03824091778202677%,0.03824091778202677%,0.03824091778202677%,0.03824091778202677%,0.03824091778202677%,,,,,,
G5,2016,5,6425.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,
G6,2016,6,7444.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,,
G7,2016,7,7583.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,,,
G8,2016,8,7059.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.02833262501770789%,0.02833262501770789%,0.02833262501770789%,0.02833262501770789%,0.02833262501770789%,0.02833262501770789%,0.02833262501770789%,0.02833262501770789%,0.02833262501770789%,0.02833262501770789%,0.02833262501770789%,0.02833262501770789%,0.02833262501770789%,,,,,,,,,,
G9,2016,9,6865.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.014566642388929352%,0.014566642388929352%,0.014566642388929352%,0.014566642388929352%,0.014566642388929352%,0.014566642388929352%,0.014566642388929352%,0.014566642388929352%,0.014566642388929352%,0.014566642388929352%,0.014566642388929352%,0.014566642388929352%,0.014566642388929352%,,,,,,,,,,,
GA,2016,10,9468.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.010561892691170258%,0.010561892691170258%,0.010561892691170258%,0.010561892691170258%,0.010561892691170258%,0.010561892691170258%,0.010561892691170258%,0.010561892691170258%,0.010561892691170258%,,,,,,,,,,,,
GB,2016,11,7000.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,,,,,,,
GC,2016,12,4447.0,0.0%,0.0%,0.0%,0.0%,0.022487069934787496%,0.31481897908702494%,0.31481897908702494%,0.31481897908702494%,0.31481897908702494%,0.31481897908702494%,0.31481897908702494%,0.3822801888913875%,0.3822801888913875%,0.3822801888913875%,0.3822801888913875%,0.3822801888913875%,0.404767258826175%,0.404767258826175%,0.404767258826175%,,,,,,,,,,,,,,
H1,2017,1,12823.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,
