SN,year,month,shipping,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
F7,2015,7,15780.0,0.0%,0.0%,0.0%,0.0%,0.012674271229404309%,0.025348542458808618%,0.025348542458808618%,0.03802281368821293%,0.03802281368821293%,0.044359949302915085%,0.057034220532319393%,0.06337135614702154%,0.06337135614702154%,0.0697084917617237%,0.0697084917617237%,0.0697084917617237%,0.07604562737642585%,0.07604562737642585%,0.09505703422053231%,0.10139416983523447%,0.10139416983523447%,0.10139416983523447%,0.10139416983523447%,0.10139416983523447%,0.10773130544993663%,0.10773130544993663%,0.12040557667934094%,0.12040557667934094%,0.12040557667934094%,0.12674271229404308%,0.12674271229404308%,0.12674271229404308%,0.12674271229404308%,0.12674271229404308%,0.12674271229404308%,0.12674271229404308%
F8,2015,8,68958.0,0.0%,0.0%,0.0%,0.004350474201687984%,0.008700948403375968%,0.011601264537834624%,0.017401896806751936%,0.02900316134458656%,0.03190347747904522%,0.03480379361350387%,0.037704109747962525%,0.03915426781519186%,0.03915426781519186%,0.046405058151338496%,0.050755532353026475%,0.053655848487485135%,0.053655848487485135%,0.05510600655471447%,0.05510600655471447%,0.05510600655471447%,0.05510600655471447%,0.05510600655471447%,0.05510600655471447%,0.05655616462194379%,0.05655616462194379%,0.05800632268917312%,0.05945648075640245%,0.0623567968908611%,0.0623567968908611%,0.06380695495809044%,0.06380695495809044%,0.06525711302531975%,0.06525711302531975%,0.06525711302531975%,0.06670727109254909%,
F9,2015,9,54615.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0018309988098507736%,0.0018309988098507736%,0.0018309988098507736%,0.007323995239403094%,0.010985992859104642%,0.014647990478806189%,0.016478989288656962%,0.018309988098507736%,0.02014098690835851%,0.021971985718209283%,0.023802984528060057%,0.023802984528060057%,0.023802984528060057%,0.023802984528060057%,0.023802984528060057%,0.023802984528060057%,0.02563398333791083%,0.027464982147761604%,0.027464982147761604%,0.029295980957612378%,0.029295980957612378%,0.029295980957612378%,0.029295980957612378%,0.029295980957612378%,0.029295980957612378%,0.029295980957612378%,0.029295980957612378%,0.029295980957612378%,0.029295980957612378%,,
FA,2015,10,65660.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0015229972586049345%,0.006091989034419738%,0.007614986293024673%,0.007614986293024673%,0.007614986293024673%,0.009137983551629607%,0.009137983551629607%,0.012183978068839476%,0.01370697532744441%,0.015229972586049346%,0.01675296984465428%,0.01675296984465428%,0.01675296984465428%,0.01675296984465428%,0.01675296984465428%,0.01675296984465428%,0.01675296984465428%,0.01675296984465428%,0.01675296984465428%,0.01675296984465428%,0.01675296984465428%,0.01675296984465428%,0.01675296984465428%,0.01675296984465428%,0.01675296984465428%,0.01675296984465428%,,,
FB,2015,11,80546.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.001241526581084101%,0.003724579743252303%,0.004966106324336404%,0.007449159486504606%,0.009932212648672807%,0.01117373922975691%,0.012415265810841009%,0.013656792391925111%,0.014898318973009212%,0.014898318973009212%,0.017381372135177414%,0.018622898716261514%,0.018622898716261514%,0.021105951878429716%,0.021105951878429716%,0.02234747845951382%,0.02234747845951382%,0.02234747845951382%,0.02234747845951382%,0.02234747845951382%,0.02234747845951382%,0.02234747845951382%,0.02234747845951382%,0.02234747845951382%,0.02234747845951382%,0.02234747845951382%,0.02234747845951382%,,,,
FC,2015,12,70658.0,0.0%,0.0%,0.0%,0.0%,0.0028305358204308074%,0.0028305358204308074%,0.004245803730646211%,0.005661071640861615%,0.008491607461292423%,0.01132214328172323%,0.01132214328172323%,0.01132214328172323%,0.01132214328172323%,0.01132214328172323%,0.012737411191938634%,0.012737411191938634%,0.012737411191938634%,0.014152679102154037%,0.014152679102154037%,0.015567947012369441%,0.015567947012369441%,0.016983214922584845%,0.01839848283280025%,0.01839848283280025%,0.01839848283280025%,0.01839848283280025%,0.01839848283280025%,0.01839848283280025%,0.01839848283280025%,0.01839848283280025%,0.01839848283280025%,,,,,
G1,2016,1,105329.0,0.0%,0.0009494061464553922%,0.0009494061464553922%,0.0018988122929107843%,0.0018988122929107843%,0.0028482184393661763%,0.0028482184393661763%,0.0037976245858215687%,0.0056964368787323525%,0.006645843025187745%,0.007595249171643137%,0.007595249171643137%,0.00854465531809853%,0.010443467611009314%,0.011392873757464705%,0.012342279903920098%,0.012342279903920098%,0.01329168605037549%,0.015190498343286275%,0.018038716782652453%,0.018988122929107842%,0.020886935222018628%,0.020886935222018628%,0.02183634136847402%,0.02183634136847402%,0.02183634136847402%,0.02278574751492941%,0.02278574751492941%,0.02278574751492941%,0.02278574751492941%,,,,,,
G2,2016,2,83448.0,0.0%,0.0%,0.0011983510689291535%,0.002396702137858307%,0.0035950532067874604%,0.0035950532067874604%,0.0035950532067874604%,0.0035950532067874604%,0.007190106413574921%,0.007190106413574921%,0.007190106413574921%,0.008388457482504073%,0.009586808551433228%,0.011983510689291535%,0.011983510689291535%,0.011983510689291535%,0.011983510689291535%,0.013181861758220689%,0.014380212827149842%,0.014380212827149842%,0.014380212827149842%,0.014380212827149842%,0.014380212827149842%,0.015578563896078996%,0.015578563896078996%,0.015578563896078996%,0.015578563896078996%,0.015578563896078996%,0.015578563896078996%,,,,,,,
G3,2016,3,113744.0,0.0%,0.0%,0.0%,0.0043958362638908425%,0.010550007033338022%,0.012308341538894358%,0.014945843297228865%,0.014945843297228865%,0.01758334505556337%,0.019341679561119707%,0.020220846813897877%,0.021979181319454213%,0.02285834857223238%,0.02285834857223238%,0.02285834857223238%,0.02285834857223238%,0.02285834857223238%,0.02285834857223238%,0.02373751582501055%,0.02373751582501055%,0.02373751582501055%,0.024616683077788717%,0.024616683077788717%,0.025495850330566887%,0.025495850330566887%,0.025495850330566887%,0.027254184836123223%,0.027254184836123223%,,,,,,,,
G4,2016,4,97370.0,0.0%,0.0%,0.008216082982438122%,0.01335113484646195%,0.014378145219266714%,0.017459176337681008%,0.02054020745609531%,0.02054020745609531%,0.023621238574509602%,0.023621238574509602%,0.023621238574509602%,0.023621238574509602%,0.023621238574509602%,0.025675259320119135%,0.025675259320119135%,0.025675259320119135%,0.025675259320119135%,0.025675259320119135%,0.02772928006572866%,0.02875629043853343%,0.029783300811338193%,0.03081031118414296%,0.03286433192975249%,0.033891342302557255%,0.033891342302557255%,0.033891342302557255%,0.033891342302557255%,,,,,,,,,
