LAN,Year,Month,New,IC Surge L2L,MB Surge Normal L2G,MB Surge Normal L2L,MB Surge Air Discharge L2G,MB Surge Air Discharge L2L,MB Surge Guard L2G,MB Surge Guard L2L,Power Pin,ESD
RTL8112,2009,1,0,1,4,1,2,1,2,2,6,8
RTL8112L,2009,3,0,1,4,1,2,1,2,2,6,8
RTL8131,2009,3,0,1,4,1,2,1,2,2,6,8
82567LF,2009,7,0,1,4,1,2,1,2,2,6,8
RTL8103EL,2009,8,0,1,4,1,2,1,2,2,6,8
AR8131L-AL1E,2009,10,0,1,4,1,2,1,2,2,5,8
WG82578DM,2010,1,0,1,4,1,2,1,2,2,6,8
RTL8111E-VB,2010,2,0,0.4,4,1,6,1,2,2,7.5,8
WG82567V,2010,4,0,1,4,1,2,1,2,2,6,8
88E8059,2010,4,0,0,0,0,0,0,0,0,0,0
WG82583V,2010,9,0,1,4,1,2,1,2,2,6,8
WG82579V,2010,10,0,1,4,1,2,1,2,2,6,8
AR8151,2010,11,0,1,2,1,6,1,2,2,5,8
RTL8111E-VL,2011,1,0,1,4,1,6,1,2,2,7.5,8
WG82579LM,2011,2,0,1,4,1,2,1,2,2,6,8
RTL8111F-VB,2012,1,0,1,4,1,6,1,2,2,6,8
AR8161-AL3A-R,2012,2,0,1,2,1,6,1,2,2,5,8
AR8161-BL3A-R,2012,5,0,1,2,1,6,1,2,2,5,8
RTL8111DP-VC,2013,3,0,1,4,1,2,1,2,2,6,8
WGI217V,2013,3,0,1,4,1,6,2,2,2,6,8
RTL8111G-CG,2013,4,0,2,4,2,6,2,2,2,6,8
RTL8111GR-CG,2013,4,0,2,4,2,6,2,15,6,6,8
WGI217LM,2013,5,0,1,4,1,2,1,2,2,6,8
QCA8171,2013,8,0,0,0,0,0,0,0,0,0,0
WGI218V,2014,2,0,1,4,1,6,1,15,6,6,8
WGI211AT(A2),2014,4,1,1,4,1,6,2,15,6,7.5,8
WGI218LM,2014,5,0,1,4,1,2,1,2,2,6,8
RTL8111EP-CG,2014,7,0,1,4,1,2,1,2,2,6,8
RTL8111H-CG,2015,4,1,2,4,2,6,2,15,6,7.5,8
